単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
項目,0,0.477825953345794,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.456611101620947,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.440743760683143,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.306650770930664,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.303812225873642,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.290500994769454,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.2808426877778,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.261446901165354,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.250006822679954,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.243599066722729,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.237444115735113,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.233378464245016,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
項目,0,0.130435348152429,13,1,3,37,0.463632881641388,0.447166860103607,0.0892001986503601,0
開催年度,0,0.416419817726859,3,2,0,6.5,0.43099057674408,0.505402743816376,0.0636066496372223,1
開催年度,0,0.373295114467842,3,2,0,6.5,0.43099057674408,0.505402743816376,0.0636066496372223,1
開催年度,0,0.346042185791835,3,2,0,6.5,0.43099057674408,0.505402743816376,0.0636066496372223,1
開催予定,0,0.580299563109232,3,2,0,9,0.454441428184509,0.484497576951981,0.0610610097646713,1
開催予定,0,0.352003939434328,3,2,0,9,0.454441428184509,0.484497576951981,0.0610610097646713,1
開催予定,0,0.28337702220918,3,2,0,9,0.454441428184509,0.484497576951981,0.0610610097646713,1
部署名,0,0.38890859999022,1,1.5,0,9.5,0.451135337352753,0.484052121639252,0.0648124814033508,1
選択式,0,0.228242923520296,1,1.5,0,24,0.456386715173721,0.478960156440735,0.0646530836820602,1
連絡先電話番号,0,0.428614670815706,4,3.5,1,19,0.375963538885117,0.560603559017181,0.063432939350605,1
連絡先電話番号,0,0.428318441465644,4,3.5,1,19,0.375963538885117,0.560603559017181,0.063432939350605,1
連絡先電話番号,0,0.424353666842174,4,3.5,1,19,0.375963538885117,0.560603559017181,0.063432939350605,1
連絡先電話番号,0,0.310433255841935,4,3.5,1,19,0.375963538885117,0.560603559017181,0.063432939350605,1
連絡先メールアドレス,0,0.428614670815706,4,4.7,0,24.6666666666667,0.338270008563995,0.608123898506165,0.0536060892045498,1
連絡先メールアドレス,0,0.428318441465644,4,4.7,0,24.6666666666667,0.338270008563995,0.608123898506165,0.0536060892045498,1
連絡先メールアドレス,0,0.424353666842174,4,4.7,0,24.6666666666667,0.338270008563995,0.608123898506165,0.0536060892045498,1
連絡先メールアドレス,0,0.310433255841935,4,4.7,0,24.6666666666667,0.338270008563995,0.608123898506165,0.0536060892045498,1
通り,0,0.228242923520296,1,0.6,0,30,0.49249666929245,0.440067678689957,0.0674355924129486,0
識別番号,0,0.445325035571084,3,2,0,1,0.429015696048737,0.507331132888794,0.0636531561613083,1
識別番号,0,0.39890871133926,3,2,0,1,0.429015696048737,0.507331132888794,0.0636531561613083,1
識別番号,0,0.278798817741803,3,2,0,1,0.429015696048737,0.507331132888794,0.0636531561613083,1
詳細情報,0,0.643390441205701,2,2,0,42,0.443899065256119,0.493065237998962,0.06303571164608,1
詳細情報,0,0.321505475008056,2,2,0,42,0.443899065256119,0.493065237998962,0.06303571164608,1
評定項目値,0,0.426263002653519,1,2.5,0,50.6666666666667,0.428271621465683,0.510722100734711,0.0610062517225742,1
評定項目,0,0.298016317380883,1,2,1,40.5,0.439302355051041,0.492297738790512,0.0683998614549637,1
評定閲覧,0,0.383736988637816,1,2,0,25.5,0.438058227300644,0.498996615409851,0.0629451274871826,1
評定書,0,0.327429241445109,3,1.5,1,83,0.460629463195801,0.471043914556503,0.0683265998959541,1
評定書,0,0.20334145483848,3,1.5,1,83,0.460629463195801,0.471043914556503,0.0683265998959541,1
評定書,0,0.193403162220652,3,1.5,1,83,0.460629463195801,0.471043914556503,0.0683265998959541,1
評定情報,0,0.55859199489724,2,2,1,64,0.447636097669601,0.483949661254883,0.0684142112731934,1
評定情報,0,0.349472872075591,2,2,1,64,0.447636097669601,0.483949661254883,0.0684142112731934,1
複数企業,0,0.579026706156607,1,2,0,39,0.442931145429611,0.494249761104584,0.0628190413117409,1
自身,0,0.429509547484332,1,1,0,1,0.477807730436325,0.456972241401672,0.0652200356125832,0
自社企業,0,0.462945163825282,2,2,0,39,0.557751595973969,0.384930580854416,0.0573178455233574,0
自社企業,0,0.378321550334153,2,2,0,39,0.557751595973969,0.384930580854416,0.0573178455233574,0
自由記述,0,0.383098424431769,4,2,0,1.5,0.551653265953064,0.390110969543457,0.0582357682287693,0
