単語,判定結果,TF-IDF値,出現回数,優先値,連結回数
黒線,0,0.25853356625469226,2,4.0,1
黒線,0,0.2477920897562108,2,4.0,1
黒ブロック,0,0.3737864903104282,4,6.8,13
黒ブロック,0,0.256850148932562,4,6.8,13
黒ブロック,0,0.24074397708402967,4,6.8,13
黒ブロック,0,0.22910434045833644,4,6.8,13
黒,0,0.4513962329945859,2,2.0,20
黒,0,0.2896277534004971,2,2.0,20
黄,0,0.36984628118932017,3,2.0,0
黄,0,0.2720701938027425,3,2.0,0
黄,0,0.25342960822684985,3,2.0,0
領域,0,0.43139510062897873,1,4.0,0
順番,0,0.4133793667750004,1,4.0,0
順位,0,0.32450549335673995,1,4.0,0
静止,0,0.2587900641644115,2,4.0,0
静止,0,0.25674053868702734,2,4.0,0
青斜線,0,0.6070156423917691,1,6.0,0
青,0,0.36984628118932017,3,2.0,1
青,0,0.2720701938027425,3,2.0,1
青,0,0.25342960822684985,3,2.0,1
難所,0,0.37250452413043583,1,4.0,2
隣接,0,0.3017314442848724,1,4.0,0
隠す,0,0.3403760500612618,1,3.1,0
際,0,0.3934106029269563,2,2.0,0
際,0,0.28595900355391096,2,2.0,0
随時更新,0,0.3933589725005811,1,8.0,0
除く,0,0.25730210077228394,1,3.1,0
除い,0,0.43076899043427586,1,3.1,0
限ら,0,0.37527158882216793,1,3.1,0
関連文章,0,0.13686330320171908,1,8.0,0
関連文書,0,0.42379008449492356,1,8.0,0
関連ファイル,0,0.3076982711741616,1,8.8,0
関連,0,0.46328062517469804,1,4.0,4
間,0,0.3933589725005811,1,2.0,18
開発,0,0.49624982829284753,1,4.0,1
開始,0,0.5608786352248399,1,4.0,0
重なる,0,0.3248850305978817,1,4.2,0
配布,0,0.4429006820824114,4,4.0,0
配布,0,0.3511813208353903,4,4.0,0
配布,0,0.3233864645436771,4,4.0,0
配布,0,0.28549347223705374,4,4.0,0
部分,0,0.4508968878613831,2,4.0,5
部分,0,0.34835103179229954,2,4.0,5
選択,0,0.0967020798790337,1,4.0,0
過ぎる,0,0.16938450168318317,1,4.2,0
進入以降具体的,0,0.20755605065372545,1,14.0,0
通過方向,0,0.7071067811865476,1,8.0,0
通過,0,0.5776702614947329,4,4.0,2
通過,0,0.5055687235582,4,4.0,2
通過,0,0.42151238033126054,4,4.0,2
通過,0,0.2422469168633653,4,4.0,2
通知,0,0.39354331440305595,2,4.0,0
通知,0,0.1560513676866533,2,4.0,0
跨が,0,0.25853356625469226,2,3.1,0
跨が,0,0.2477920897562108,2,3.1,0
超え,0,0.25205655470553784,1,3.1,0
起き,0,0.44468362155055213,1,3.1,0
走行順,0,0.4133793667750004,1,6.0,0
走行体全体,0,0.31047807993645354,4,10.0,0
走行体全体,0,0.28883513074736644,4,10.0,0
走行体全体,0,0.274239965295315,4,10.0,0
走行体全体,0,0.16852290785273333,4,10.0,0
走行体ソフトウェア,0,0.4079746204385708,4,13.2,0
走行体ソフトウェア,0,0.32011934772595985,4,13.2,0
走行体ソフトウェア,0,0.2529634837834206,4,13.2,0
走行体ソフトウェア,0,0.1125174276992191,4,13.2,0
走行体,0,0.44635982370475163,10,6.0,8
走行体,0,0.3752546057386954,10,6.0,8
走行体,0,0.2856993721615259,10,6.0,8
走行体,0,0.27470426750593796,10,6.0,8
走行体,0,0.25099058594329493,10,6.0,8
走行体,0,0.22665264963030013,10,6.0,8
走行体,0,0.17151602208254607,10,6.0,8
走行体,0,0.1686378783566323,10,6.0,8
走行体,0,0.13714604900557725,10,6.0,8
走行体,0,0.11461528102096027,10,6.0,8
走行タイム,0,0.7247239506743931,4,7.6,1
走行タイム,0,0.45407803195252266,4,7.6,1
走行タイム,0,0.41443914485089517,4,7.6,1
走行タイム,0,0.3125506825088018,4,7.6,1
走行,0,0.36415143784979187,5,4.0,25
走行,0,0.2552950563857947,5,4.0,25
走行,0,0.2206273017509444,5,4.0,25
走行,0,0.21534627563064196,5,4.0,25
走行,0,0.19829800623812124,5,4.0,25
赤い線,0,0.25853356625469226,2,5.1,0
赤い線,0,0.2477920897562108,2,5.1,0
赤,0,0.36984628118932017,3,2.0,2
赤,0,0.2720701938027425,3,2.0,2
赤,0,0.25342960822684985,3,2.0,2
論理時間,0,0.31322267459284847,1,8.0,0
読者,0,0.4442439553258812,1,4.0,0
詳細,0,0.6045489244667612,1,4.0,0
該当ゲート,0,0.35133161931553236,1,7.6,0
試走会,0,0.39354331440305595,2,6.0,1
試走会,0,0.3182005596214256,2,6.0,1
設置方法,0,0.13686330320171908,1,8.0,0
設置プライマリークラス難所,0,0.37250452413043583,1,18.8,0
設置,0,0.45170180575983965,15,4.0,6
設置,0,0.3344555526562825,15,4.0,6
設置,0,0.28713647674342263,15,4.0,6
設置,0,0.2725445838221268,15,4.0,6
設置,0,0.25683547142574265,15,4.0,6
設置,0,0.25463709158675574,15,4.0,6
設置,0,0.24483741491960503,15,4.0,6
設置,0,0.22469542178359383,15,4.0,6
設置,0,0.20996891790321012,15,4.0,6
設置,0,0.2077465364379112,15,4.0,6
設置,0,0.20296843699273087,15,4.0,6
設置,0,0.19373104203694497,15,4.0,6
設置,0,0.18508847610173382,15,4.0,6
設置,0,0.16442656334544936,15,4.0,6
設置,0,0.16181158354442163,15,4.0,6
設けられ,0,0.4432661707858637,3,5.3,0
設けられ,0,0.4067097307929448,3,5.3,0
設けられ,0,0.25501174309094504,3,5.3,0
記載,0,0.3830486371581752,7,4.0,0
記載,0,0.3789726495030256,7,4.0,0
記載,0,0.3705255758903971,7,4.0,0
記載,0,0.3622696068568347,7,4.0,0
記載,0,0.3577042027703582,7,4.0,0
記載,0,0.3431642406109119,7,4.0,0
記載,0,0.2763528235967851,7,4.0,0
記す,0,0.5419054744583255,1,3.1,0
計算,0,0.4681431998810139,2,4.0,0
計算,0,0.4102527517886458,2,4.0,0
計測終了操作,0,0.16938450168318317,1,12.0,0
計測方法,0,0.5523288314987785,1,8.0,0
計測,0,0.3887151346478199,3,4.0,8
計測,0,0.3290200568199167,3,4.0,8
計測,0,0.2181386869686314,3,4.0,8
計8個,0,0.42735280340548243,1,5.0,0
計10個,0,0.2928347777174427,1,6.0,0
言及,0,0.31322267459284847,1,4.0,0
触れ,0,0.23704851586283235,2,3.1,0
触れ,0,0.15332583370233333,2,3.1,0
規約説明,0,0.37527158882216793,1,8.0,0
規約,0,0.5702351434454792,1,4.0,9
規定,0,0.46539705602507153,1,4.0,0
見なす,0,0.25853356625469226,2,4.2,0
見なす,0,0.2477920897562108,2,4.2,0
見なし,0,0.28043931761241997,1,4.2,0
複数個所,0,0.35211578691957707,1,8.0,0
装飾物,0,0.28043931761241997,1,6.0,0
装飾品,0,0.39555123212214743,3,6.0,0
装飾品,0,0.30473349724745474,3,6.0,0
装飾品,0,0.23484147197143998,3,6.0,0
表現,0,0.31322267459284847,1,4.0,0
表8,0,0.5600776529923044,1,3.0,0
表6,0,0.46095060862411114,2,3.0,0
表6,0,0.45888239688405924,2,3.0,0
表1,0,0.46421064932875133,2,3.0,0
表1,0,0.4268134006525643,2,3.0,0
行為,0,0.6251968829103723,1,4.0,0
行われる,0,0.5163063829345327,1,5.3,0
行う,0,0.4872883189620571,3,3.1,0
行う,0,0.3652676892513844,3,3.1,0
行う,0,0.26629300291302765,3,3.1,0
落下,0,0.16938450168318317,1,4.0,0
色,0,0.5472858191423993,4,2.0,6
色,0,0.30978293350118963,4,2.0,6
色,0,0.2584514925480423,4,2.0,6
色,0,0.1706350232431967,4,2.0,6
自動判定,0,0.5398589759576662,1,8.0,0
自コース,0,0.3040548507757949,3,5.6,0
自コース,0,0.2218616613050975,3,5.6,0
自コース,0,0.1774029615680089,3,5.6,0
置かれ,0,0.40484956753955875,5,4.2,2
