判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
0,0.3789773828011361,3,1.0,0,0.0
0,0.27678791000385583,3,1.0,0,0.0
0,0.2713401347218836,3,1.0,0,0.0
0,0.3815472572713995,4,2.5,11,0.0
0,0.306829863445963,4,2.5,11,0.0
0,0.2776651117996205,4,2.5,11,0.0
0,0.2388665360543044,4,2.5,11,0.0
0,0.4413907817577392,1,1.0,0,0.0
0,0.4353307501666342,1,1.0,0,0.0
0,0.3520911188701589,1,1.0,0,0.0
0,0.20948846184618009,1,3.5,0,0.0
0,0.7071067811865476,1,2.0,0,0.0
0,0.4353307501666342,1,1.5,0,0.0
0,0.4442320302311405,12,1.5,0,0.0
0,0.3795913452046577,12,1.5,0,0.0
0,0.3574309984706648,12,1.5,0,0.0
0,0.2799105202972461,12,1.5,0,0.0
0,0.2733637404227928,12,1.5,0,0.0
0,0.267285609044496,12,1.5,0,0.0
0,0.2640779031457273,12,1.5,0,0.0
0,0.23667608721326136,12,1.5,0,0.0
0,0.22454023344141086,12,1.5,0,0.0
0,0.18934304237082394,12,1.5,0,0.0
0,0.18347298241934729,12,1.5,0,0.0
0,0.16837363706347788,12,1.5,0,0.0
0,0.7771879686869645,5,2.5,0,0.0
0,0.4605773001801841,5,2.5,0,0.0
0,0.4340968984548802,5,2.5,0,0.0
0,0.4014798701204196,5,2.5,0,0.0
0,0.36280683595788016,5,2.5,0,0.0
0,0.3828760506600486,1,2.2,0,0.0
0,0.3721075562177905,2,1.5,0,0.0
0,0.33981845076012296,2,1.5,0,0.0
0,0.4585041881498721,3,0.6,0,0.0
0,0.4169870608073147,3,0.6,0,0.0
0,0.2617428323770914,3,0.6,0,0.0
0,0.1816218081146215,1,3.0,0,0.0
0,0.5594871164077668,1,2.0,0,0.0
0,0.2589067191803029,2,0.6,0,0.0
0,0.16458235394482112,2,0.6,0,0.0
0,0.39933817297845614,1,2.0,0,0.0
0,0.3558665911590496,1,2.0,0,0.0
0,0.6140731699089501,1,1.5,0,0.0
0,0.4123275359849273,3,1.5,0,0.0
0,0.3055464566041628,3,1.5,0,0.0
0,0.24061006784545266,3,1.5,0,0.0
0,0.5410870419672881,1,2.0,0,0.0
0,0.4812201356909053,3,1.0,0,0.0
0,0.4123275359849273,3,1.0,0,0.0
0,0.3055464566041628,3,1.0,0,0.0
0,0.1816218081146215,1,1.6,0,0.0
0,0.1816218081146215,1,2.0,0,0.0
0,0.4913545663031858,2,2.0,0,0.0
0,0.3721075562177905,2,2.0,0,0.0
0,0.33757456278668524,1,1.5,0,0.0
0,0.5174485595933956,1,1.5,0,0.0
0,0.2957069456795657,2,1.0,0,0.0
0,0.2898868035015413,2,1.0,0,0.0
0,0.40488128382557736,2,1.5,0,0.0
0,0.33512487181596523,2,1.5,0,0.0
0,0.4739061626727711,2,1.0,7,0.0
0,0.19216069044568285,2,1.0,7,0.0
0,0.3856901738738882,2,1.0,0,0.0
0,0.16659901810212935,2,1.0,0,0.0
0,0.4454890032498625,2,2.0,0,0.0
0,0.33981845076012296,2,2.0,0,0.0
0,0.3812429325228404,2,2.5,0,0.0
0,0.3612456572055333,2,2.5,0,0.0
0,0.20948846184618009,1,2.0,0,0.0
0,0.5732947730877755,1,0.6,0,0.0
0,0.3514484156985262,2,1.1,0,0.0
0,0.3461547666456513,2,1.1,0,0.0
0,0.6731247272510588,1,1.0,0,0.0
0,0.5441734015087415,2,2.0,0,0.0
0,0.4238999757610756,2,2.0,0,0.0
0,0.4964620639547706,3,1.0,0,0.0
0,0.29321055172470684,3,1.0,0,0.0
0,0.2923109022778721,3,1.0,0,0.0
0,0.39933817297845614,1,1.0,0,0.0
0,0.39933817297845614,1,1.0,0,0.0
