単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
項目,0,0.4778259533457945,13,1.0,3,0
項目,0,0.45661110162094687,13,1.0,3,0
項目,0,0.4407437606831434,13,1.0,3,0
項目,0,0.30665077093066373,13,1.0,3,0
項目,0,0.30381222587364237,13,1.0,3,0
項目,0,0.29050099476945423,13,1.0,3,0
項目,0,0.28084268777779986,13,1.0,3,0
項目,0,0.26144690116535374,13,1.0,3,0
項目,0,0.2500068226799537,13,1.0,3,0
項目,0,0.2435990667227289,13,1.0,3,0
項目,0,0.23744411573511254,13,1.0,3,0
項目,0,0.23337846424501585,13,1.0,3,0
項目,0,0.13043534815242885,13,1.0,3,0
開催年度,0,0.4164198177268594,3,2.0,0,0
開催年度,0,0.37329511446784186,3,2.0,0,0
開催年度,0,0.3460421857918355,3,2.0,0,0
開催予定,0,0.5802995631092321,3,2.0,0,0
開催予定,0,0.35200393943432823,3,2.0,0,0
開催予定,0,0.28337702220918015,3,2.0,0,0
部署名,0,0.38890859999022004,1,1.5,0,0
選択式,0,0.22824292352029638,1,1.5,0,0
連絡先電話番号,0,0.42861467081570587,4,3.5,1,0
連絡先電話番号,0,0.42831844146564413,4,3.5,1,0
連絡先電話番号,0,0.4243536668421742,4,3.5,1,0
連絡先電話番号,0,0.31043325584193504,4,3.5,1,0
連絡先メールアドレス,0,0.42861467081570587,4,4.7,0,0
連絡先メールアドレス,0,0.42831844146564413,4,4.7,0,0
連絡先メールアドレス,0,0.4243536668421742,4,4.7,0,0
連絡先メールアドレス,0,0.31043325584193504,4,4.7,0,0
通り,0,0.22824292352029638,1,0.6,0,0
識別番号,0,0.4453250355710837,3,2.0,0,0
識別番号,0,0.39890871133926004,3,2.0,0,0
識別番号,0,0.27879881774180254,3,2.0,0,0
詳細情報,0,0.6433904412057013,2,2.0,0,0
詳細情報,0,0.32150547500805643,2,2.0,0,0
評定項目値,0,0.4262630026535185,1,2.5,0,0
評定項目,0,0.2980163173808827,1,2.0,1,0
評定閲覧,0,0.38373698863781563,1,2.0,0,0
評定書,0,0.3274292414451091,3,1.5,1,0
評定書,0,0.20334145483848035,3,1.5,1,0
評定書,0,0.1934031622206524,3,1.5,1,0
