単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル
項目,0,0.32294031157927516,13,1.0,3,37.0
項目,0,0.276177386227875,13,1.0,3,37.0
項目,0,0.25432504483918356,13,1.0,3,37.0
項目,0,0.21597872061588205,13,1.0,3,37.0
項目,0,0.19965512042591613,13,1.0,3,37.0
項目,0,0.196507046707727,13,1.0,3,37.0
項目,0,0.19120885071800525,13,1.0,3,37.0
項目,0,0.18626954563239984,13,1.0,3,37.0
項目,0,0.18483591595040247,13,1.0,3,37.0
項目,0,0.1791917234424934,13,1.0,3,37.0
項目,0,0.16440288282500531,13,1.0,3,37.0
項目,0,0.1391056449144685,13,1.0,3,37.0
項目,0,0.11017116299961992,13,1.0,3,37.0
閲覧,0,0.41729387179598476,1,1.0,4,7.0
開催年度,0,0.30903699431171233,3,2.0,0,6.5
開催年度,0,0.2942029888965931,3,2.0,0,6.5
開催年度,0,0.20826376047009992,3,2.0,0,6.5
開催予定,0,0.35584169698590035,3,2.0,0,9.0
開催予定,0,0.32335524963520895,3,2.0,0,9.0
開催予定,0,0.2862707283387594,3,2.0,0,9.0
開催,0,0.3482576413594547,1,1.0,6,0.0
部署名,0,0.24979417950863825,1,1.5,0,9.5
選択式,0,0.19524973793505676,1,1.5,0,24.0
選択,0,0.22766445535507998,1,1.0,1,24.0
達成,0,0.7116392184966277,1,1.0,0,33.0
連絡先電話番号,0,0.26933819960000754,4,3.5,1,19.0
連絡先電話番号,0,0.23157911520760108,4,3.5,1,19.0
連絡先電話番号,0,0.21010605258685489,4,3.5,1,19.0
連絡先電話番号,0,0.19854079226368745,4,3.5,1,19.0
連絡先メールアドレス,0,0.26933819960000754,4,4.7,0,24.666666666666668
連絡先メールアドレス,0,0.23157911520760108,4,4.7,0,24.666666666666668
連絡先メールアドレス,0,0.21010605258685489,4,4.7,0,24.666666666666668
連絡先メールアドレス,0,0.19854079226368745,4,4.7,0,24.666666666666668
通り,0,0.19524973793505676,1,0.6,0,30.0
識別番号,0,0.30614527223964016,3,2.0,0,1.0
識別番号,0,0.28011301181575804,3,2.0,0,1.0
識別番号,0,0.22331482423118915,3,2.0,0,1.0
評定項目値,0,0.33011433282349606,1,2.5,0,50.666666666666664
評定項目,0,0.2931370367108767,1,2.0,1,40.5
評定閲覧,0,1.0,1,2.0,0,25.5
評定書確定,0,0.41729387179598476,1,2.5,0,64.0
評定書,0,0.355044196909127,2,1.5,1,83.0
評定書,0,0.20699373164634888,2,1.5,1,83.0
評定情報,0,0.30014170422214537,2,2.0,1,64.0
評定情報,0,0.2601817037518306,2,2.0,1,64.0
評定,0,0.570450581281994,2,1.0,9,44.0
評定,0,0.555663346152922,2,1.0,9,44.0
記述,0,0.5158752978790371,5,1.0,0,3.0
記述,0,0.46080354462688594,5,1.0,0,3.0
記述,0,0.2260761031713678,5,1.0,0,3.0
記述,0,0.1472164985936525,5,1.0,0,3.0
記述,0,0.1341423490717351,5,1.0,0,3.0
要求仕様,0,0.25959421904907604,1,2.0,1,30.5
要望書,0,0.25959421904907604,1,1.5,0,76.0
複数企業,0,0.5724996053658196,1,2.0,0,39.0
自身,0,0.3175707334813077,1,1.0,0,1.0
自社企業,0,0.3166376966791661,2,2.0,0,39.0
自社企業,0,0.3081005546130321,2,2.0,0,39.0
自己評価入力,0,0.6164231350053873,1,3.0,0,20.666666666666668
自己評価,0,0.38140104378308937,2,2.0,1,31.0
自己評価,0,0.1617565390178743,2,2.0,1,31.0
自分,0,0.3623941103501137,1,1.0,0,1.0
職階,0,0.24979417950863825,1,1.0,0,0.0
総合評価教員,0,0.2931370367108767,1,3.0,0,27.666666666666668
総合評価,0,1.0,1,2.0,1,31.0
確認,0,0.26154210799897043,15,1.0,0,3.0
確認,0,0.24084777270391555,15,1.0,0,3.0
確認,0,0.22415627088093396,15,1.0,0,3.0
確認,0,0.20453350885937638,15,1.0,0,3.0
確認,0,0.18907493398426525,15,1.0,0,3.0
確認,0,0.18609368397086995,15,1.0,0,3.0
確認,0,0.1810762516362755,15,1.0,0,3.0
確認,0,0.17639869174701875,15,1.0,0,3.0
確認,0,0.17504103341647714,15,1.0,0,3.0
確認,0,0.1696959397191513,15,1.0,0,3.0
確認,0,0.15663963856438784,15,1.0,0,3.0
確認,0,0.15569079395834956,15,1.0,0,3.0
確認,0,0.15291347890916315,15,1.0,0,3.0
確認,0,0.1317341151728746,15,1.0,0,3.0
確認,0,0.09773835570203024,15,1.0,0,3.0
確定フラグ,0,0.33011433282349606,1,2.5,0,31.0
確定,0,0.45532891071015996,1,1.0,2,26.0
目標,0,0.4899439123616702,4,1.0,0,29.0
目標,0,0.3334167008791091,4,1.0,0,29.0
目標,0,0.23831757447082433,4,1.0,0,29.0
目標,0,0.14140583111679936,4,1.0,0,29.0
登録,0,0.6150063005625711,10,1.0,6,31.0
登録,0,0.5119757678787152,10,1.0,6,31.0
