判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
0,0.4778259533457945,13,1.0,3,0.0
0,0.4566111016209469,13,1.0,3,0.0
0,0.4407437606831434,13,1.0,3,0.0
0,0.3066507709306637,13,1.0,3,0.0
0,0.3038122258736424,13,1.0,3,0.0
0,0.29050099476945423,13,1.0,3,0.0
0,0.28084268777779986,13,1.0,3,0.0
0,0.2614469011653537,13,1.0,3,0.0
0,0.2500068226799537,13,1.0,3,0.0
0,0.2435990667227289,13,1.0,3,0.0
0,0.2374441157351125,13,1.0,3,0.0
0,0.23337846424501585,13,1.0,3,0.0
0,0.13043534815242885,13,1.0,3,0.0
0,0.4164198177268594,3,2.0,0,0.0
0,0.37329511446784186,3,2.0,0,0.0
0,0.3460421857918355,3,2.0,0,0.0
0,0.5802995631092321,3,2.0,0,0.0
0,0.35200393943432823,3,2.0,0,0.0
0,0.2833770222091801,3,2.0,0,0.0
0,0.38890859999022,1,1.5,0,0.0
0,0.2282429235202964,1,1.5,0,0.0
0,0.42861467081570587,4,3.5,1,0.0
0,0.4283184414656441,4,3.5,1,0.0
0,0.4243536668421742,4,3.5,1,0.0
0,0.31043325584193504,4,3.5,1,0.0
0,0.42861467081570587,4,4.7,0,0.0
0,0.4283184414656441,4,4.7,0,0.0
0,0.4243536668421742,4,4.7,0,0.0
0,0.31043325584193504,4,4.7,0,0.0
0,0.2282429235202964,1,0.6,0,0.0
0,0.4453250355710837,3,2.0,0,0.0
0,0.39890871133926,3,2.0,0,0.0
0,0.2787988177418025,3,2.0,0,0.0
0,0.6433904412057013,2,2.0,0,0.0
0,0.32150547500805643,2,2.0,0,0.0
0,0.4262630026535185,1,2.5,0,0.0
0,0.2980163173808827,1,2.0,1,0.0
0,0.3837369886378156,1,2.0,0,0.0
0,0.3274292414451091,3,1.5,1,0.0
0,0.20334145483848035,3,1.5,1,0.0
0,0.1934031622206524,3,1.5,1,0.0
0,0.5585919948972397,2,2.0,1,0.0
0,0.3494728720755914,2,2.0,1,0.0
0,0.579026706156607,1,2.0,0,0.0
0,0.4295095474843318,1,1.0,0,0.0
0,0.4629451638252821,2,2.0,0,0.5
0,0.3783215503341532,2,2.0,0,0.5
0,0.3830984244317686,4,2.0,0,0.0
0,0.2322121235469531,4,2.0,0,0.0
0,0.1821872642391276,4,2.0,0,0.0
0,0.15928935515267564,4,2.0,0,0.0
0,0.29091371549246897,1,3.0,0,0.0
0,0.3778428826602495,2,2.0,1,0.0
0,0.18173805139516105,2,2.0,1,0.0
0,0.3290218034945666,1,1.0,0,0.0
0,0.38890859999022,1,1.0,0,0.0
0,0.27140625335648105,2,2.0,0,0.0
0,0.21854429971812364,2,2.0,0,0.0
0,0.4262630026535185,1,2.5,0,0.0
0,0.4930153508535785,3,1.0,0,0.0
0,0.3515585698624782,3,1.0,0,0.0
0,0.16909560129395554,3,1.0,0,0.0
0,0.4148885408733919,1,2.0,0,0.0
0,0.4550012486115284,3,1.0,6,0.0
0,0.4546867826510026,3,1.0,6,0.0
0,0.3295442938287933,3,1.0,6,0.0
0,0.3344247284525142,1,1.6,0,0.0
0,0.2282429235202964,1,1.0,0,0.0
