単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル
項目,0,0.37288877911826523,1,1.0,0,37.0
氏名,0,0.6024544302435585,1,1.0,0,26.0
教員,0,0.31718405150150736,4,1.0,0,21.0
教員,0,0.31127341386213186,4,1.0,0,21.0
教員,0,0.3002130897627269,4,1.0,0,21.0
教員,0,0.27570478782567326,4,1.0,0,21.0
情報,0,0.40472127418433096,4,1.0,3,84.0
情報,0,0.31127341386213186,4,1.0,3,84.0
情報,0,0.2891585417617223,4,1.0,3,84.0
情報,0,0.2565133778891555,4,1.0,3,84.0
実施開始日,0,0.37288877911826523,1,2.5,0,31.0
実施終了日,0,0.37288877911826523,1,2.5,0,37.666666666666664
実施日数,0,0.37288877911826523,1,2.0,1,23.5
学籍番号,0,0.6024544302435585,1,2.0,0,0.0
学生登録,0,0.4633510990402449,1,2.0,0,28.0
学生id,0,0.44688707384896903,1,1.8,0,12.5
学生,0,0.39363698036676986,4,1.0,2,25.0
学生,0,0.31127341386213186,4,1.0,2,25.0
学生,0,0.3002130897627269,4,1.0,2,25.0
学生,0,0.27570478782567326,4,1.0,2,25.0
企業登録,0,0.4721494747584047,1,2.0,0,54.5
企業担当者id,0,0.4684978677695355,1,3.3,0,19.75
企業担当者,0,0.40045492184334347,2,2.5,1,26.333333333333332
企業担当者,0,0.3263805015872155,2,2.5,1,26.333333333333332
企業名,0,0.36791730191631683,2,1.5,0,40.0
企業名,0,0.31873175348478006,2,1.5,0,40.0
企業id,0,0.4304316467628404,1,1.8,0,39.0
企業,0,0.4721494747584047,1,1.0,7,78.0
予定実施日数,0,0.3818371575290046,1,3.0,0,21.666666666666668
予定実施日,0,0.3818371575290046,1,2.5,1,21.666666666666668
ユーザ認証,0,0.7043553668237875,3,2.2,0,4.0
ユーザ認証,0,0.6718649763087943,3,2.2,0,4.0
ユーザ認証,0,0.6718649763087943,3,2.2,0,4.0
ユーザid,0,0.44688707384896903,1,2.0,0,2.5
パスワード,0,0.35217768341189376,3,2.2,0,0.0
パスワード,0,0.33593248815439714,3,2.2,0,0.0
パスワード,0,0.33593248815439714,3,2.2,0,0.0
システム,0,0.4633510990402449,1,2.0,0,410.0
エントリ登録,0,0.4104048426900506,1,3.0,0,15.5
エントリ,0,0.4104048426900506,1,2.0,1,0.0
インターンシップ登録,0,0.3818371575290046,1,4.7,0,15.5
インターンシップ情報閲覧,0,0.5859547245387638,1,5.7,0,30.333333333333332
インターンシップ情報,0,0.5008527670276128,2,4.7,1,42.0
インターンシップ情報,0,0.3263805015872155,2,4.7,1,42.0
インターンシップ名,0,0.3263805015872155,2,4.2,0,1.0
インターンシップ名,0,0.31873175348478006,2,4.2,0,1.0
インターンシップid,0,0.37288877911826523,1,4.5,0,0.0
インターンシップ,0,0.4035761825617584,2,3.7,7,0.0
インターンシップ,0,0.3507991188647643,2,3.7,7,0.0
