単語,数値,TF-IDF値,,,,,,,単語,TF-IDF値,出現回数,優先値,連結回数,概念レベル
項目,4,0.359845996,,,,,,,項目,0.359845996,1,1,2,37
パスワード,8,0.707106781,,,,,,,開催予定インターンシップ,0.418023989,1,5.7,0,6
,,,,,,,,,連絡先電話番号,0.385682184,1,3.5,1,19
,,,,,,,,,連絡先メールアドレス,0.385682184,1,4.7,0,24.66666667
,,,,,,,,,自社企業,0.418023989,1,2,0,39
,,,,,,,,,登録,0.552512424,1,1,1,31
,,,,,,,,,発行,0.474295433,1,1,0,0
,,,,,,,,,教員,0.410919782,3,1,0,21
,,,,,,,,,提供,0.530510806,1,1,0,233
,,,,,,,,,学生氏名,0.385682184,1,2,0,25.5
,,,,,,,,,学生機能,0.435367791,1,2,0,15.5
,,,,,,,,,学生情報一覧確認,0.418023989,1,4,0,28
単語,TF-IDF値,出現回数,優先値,連結回数,概念レベル,,,,学生id,0.385682184,1,1.8,0,12.5
パスワード,0.707106781,1,2.2,1,0,,,,学生,0.515192189,2,1,4,25
企業,0.435367791,1,1,11,78,,,,参加エントリ,0.418023989,1,3,0,5.5
id,0.474295433,1,0.8,4,0,,,,分かれ,0.435367791,1,0.7,0,0
システム,0.435367791,1,2,0,410,,,,企業担当者連絡先電話番号,0.359845996,1,6,0,22.14285714
企業担当者,0.370102398,2,2.5,4,68.33333333,,,,企業担当者名,0.359845996,1,3,0,20.25
年度,0.359845996,1,1,1,13,,,,企業担当者id,0.359845996,1,3.3,0,19.75
,,,,,,,,,企業名,0.543623952,2,1.5,0,40
,,,,,,,,,企業企業担当者年度別一覧確認,0.530510806,1,7,0,21.625
,,,,,,,,,企業id,0.639488857,1,1.8,0,39
,,,,,,,,,一覧項目,0.543623952,2,2,0,18.5
,,,,,,,,,メールアドレス,0.359845996,1,3.2,1,0
,,,,,,,,,パスワード変更,0.474295433,1,3.2,0,200
,,,,,,,,,システム,0.435367791,1,2,0,410
,,,,,,,,,インターンシップ名,0.385682184,1,4.2,0,1
,,,,,,,,,インターンシップエントリ登録,0.606043319,1,6.7,0,10.33333333
,,,,,,,,,インターンシップid,0.385682184,1,4.5,0,0
,,,,,,,,,インターンシップ,0.530510806,1,3.7,4,0
