単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
２種類,0,0.3297561244586673,1,5.0,0,0
黒線,0,0.39285356319076065,3,4.0,0,0
黒線,0,0.2557532718308194,3,4.0,0,0
黒線,0,0.24346151984376674,3,4.0,0,0
黒ブロック,0,0.3751292489246232,4,6.8,11,0
黒ブロック,0,0.26475793987003193,4,6.8,11,0
黒ブロック,0,0.2585969950751063,4,6.8,11,0
黒ブロック,0,0.24759365021233923,4,6.8,11,0
黒,0,0.4592180338730003,2,2.0,18,0
黒,0,0.2916969086560942,2,2.0,18,0
黄,0,0.3738329494983852,3,2.0,0,0
黄,0,0.2754632116500071,3,2.0,0,0
黄,0,0.25945366357871746,3,2.0,0,0
駐車領域,0,0.4936559903812196,5,8.0,0,0
駐車領域,0,0.34946904152700803,5,8.0,0,0
駐車領域,0,0.3131279238332531,5,8.0,0,0
駐車領域,0,0.30171117368852374,5,8.0,0,0
駐車領域,0,0.2659136470275592,5,8.0,0,0
領域,0,0.44863596222717683,1,4.0,5,0
順番,0,0.410834946284818,1,4.0,0,0
順位,0,0.34017694248888525,1,4.0,0,0
静止し,0,0.30359580552740295,1,5.1,0,0
青,0,0.3738329494983852,3,2.0,0,0
青,0,0.2754632116500071,3,2.0,0,0
青,0,0.25945366357871746,3,2.0,0,0
難所,0,0.4167999609099877,1,4.0,2,0
障害物回避,0,0.27712183291327713,1,10.0,0,0
障害物,0,0.34186137704585917,3,6.0,1,0
障害物,0,0.2887549803953633,3,6.0,1,0
障害物,0,0.24266511974982433,3,6.0,1,0
関連文章,0,0.2588893805122497,1,8.0,0,0
関連文書,0,0.4435486805827573,1,8.0,0,0
関連ファイル,0,0.3216158102492383,1,8.8,0,0
間,0,0.4450326312619997,2,2.0,20,0
間,0,0.41219060136775976,2,2.0,20,0
重な,0,0.32246512476483497,1,3.1,1,0
部分,0,0.44275298217294146,3,4.0,5,0
部分,0,0.44275298217294146,3,4.0,5,0
部分,0,0.350845893171428,3,4.0,5,0
運び,0,0.5521172017100386,1,3.1,0,0
進入以降具体的,0,0.20697751129091366,1,14.0,0,0
進入ライン,0,0.6371144749572537,2,7.6,0,0
進入ライン,0,0.2860276247549723,2,7.6,0,0
進入し,0,0.38111070764156607,2,5.1,0,0
進入し,0,0.36161741269382963,2,5.1,0,0
通過方向,0,0.7071067811865476,1,8.0,0,0
通過図5,0,0.4446713628721317,1,7.0,0,0
通過ライン,0,0.5596877638338705,2,7.6,0,0
通過ライン,0,0.2860276247549723,2,7.6,0,0
通過ガレージ,0,0.5896519938612077,1,8.8,0,0
通過する,0,0.5037984840334078,1,6.2,0,0
転倒せず,0,0.27712183291327713,1,6.2,0,0
走行順,0,0.410834946284818,1,6.0,0,0
走行体ソフトウェア,0,0.4202790204655253,4,13.2,0,0
走行体ソフトウェア,0,0.3442938197245671,4,13.2,0,0
走行体ソフトウェア,0,0.2687532336435738,4,13.2,0,0
走行体ソフトウェア,0,0.21633687135818755,4,13.2,0,0
走行体,0,0.5452731031292819,30,6.0,4,0
走行体,0,0.4704160326222581,30,6.0,4,0
走行体,0,0.4677298243214808,30,6.0,4,0
走行体,0,0.41786310496451495,30,6.0,4,0
