単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
黒線,0,0.3824271715678532,3,4.0,0,0
黒線,0,0.25227481937751417,3,4.0,0,0
黒線,0,0.23986633479114952,3,4.0,0,0
黒ブロック,0,0.3743919056283359,4,6.8,11,0
黒ブロック,0,0.25038543207558744,4,6.8,11,0
黒ブロック,0,0.2421184310125409,4,6.8,11,0
黒ブロック,0,0.2410422637081709,4,6.8,11,0
黒,0,0.4530580101338395,2,2.0,18,0
黒,0,0.2904446508976146,2,2.0,18,0
黄,0,0.370935947138463,3,2.0,0,0
黄,0,0.27286662187980276,3,2.0,0,0
黄,0,0.25485290136905436,3,2.0,0,0
領域,0,0.4417854322244193,1,4.0,0,0
順番,0,0.41328538293106665,1,4.0,0,0
順位,0,0.33477895671947827,1,4.0,0,0
青,0,0.370935947138463,3,2.0,0,0
青,0,0.27286662187980276,3,2.0,0,0
青,0,0.25485290136905436,3,2.0,0,0
難所,0,0.39025082063578026,1,4.0,2,0
関連文章,0,0.151010968072147,1,8.0,0,0
関連文書,0,0.44245761305615544,1,8.0,0,0
関連ファイル,0,0.3167890102862795,1,8.8,0,0
間,0,0.44349988655097095,1,2.0,10,0
部分,0,0.451708908638569,2,4.0,5,0
部分,0,0.3616813403530829,2,4.0,5,0
進入以降具体的,0,0.207216944980054,1,14.0,0,0
通過方向,0,0.7071067811865475,1,8.0,0,0
走行順,0,0.41328538293106665,1,6.0,0,0
走行体ソフトウェア,0,0.40816127981387007,4,13.2,0,0
走行体ソフトウェア,0,0.3386236761977029,4,13.2,0,0
走行体ソフトウェア,0,0.2605227934725679,4,13.2,0,0
走行体ソフトウェア,0,0.12418928046651509,4,13.2,0,0
走行体,0,0.6272323903893788,12,6.0,4,0
走行体,0,0.34872022746548,12,6.0,4,0
走行体,0,0.34426833675068297,12,6.0,4,0
走行体,0,0.28865856918728966,12,6.0,4,0
走行体,0,0.2791638776828744,12,6.0,4,0
走行体,0,0.2687246683293893,12,6.0,4,0
走行体,0,0.26346410789964037,12,6.0,4,0
走行体,0,0.239387979727848,12,6.0,4,0
走行体,0,0.22193786808630953,12,6.0,4,0
走行体,0,0.17356699865958183,12,6.0,4,0
走行体,0,0.17001178766886582,12,6.0,4,0
走行体,0,0.10821600628574587,12,6.0,4,0
走行タイム,0,0.7393104168510035,5,7.6,0,0
走行タイム,0,0.4378659957866977,5,7.6,0,0
走行タイム,0,0.42000420182477916,5,7.6,0,0
走行タイム,0,0.3741804891700221,5,7.6,0,0
走行タイム,0,0.32086554443873105,5,7.6,0,0
赤,0,0.370935947138463,3,2.0,2,0
赤,0,0.27286662187980276,3,2.0,2,0
赤,0,0.25485290136905436,3,2.0,2,0
論理,0,0.39421797806241626,1,4.0,0,0
読者,0,0.48570813701884713,1,4.0,0,0
詳細,0,0.6302109706143331,1,4.0,0,0
該当ゲート,0,0.3757055679862659,1,7.6,0,0
試走会,0,0.37623403776558384,3,6.0,0,0
試走会,0,0.34716884878437776,3,6.0,0,0
試走会,0,0.31113137467489305,3,6.0,0,0
設置方法,0,0.151010968072147,1,8.0,0,0
設置プライマリークラス難所,0,0.39025082063578026,1,18.8,0,0
計測終了操作,0,0.1741593142684597,1,12.0,0,0
計測方法,0,0.5563420748674546,1,8.0,0,0
触れ,0,0.24557279306196983,2,3.1,0,0
触れ,0,0.1600313216396191,2,3.1,0,0
規約,0,0.4529862605220829,7,4.0,0,0
規約,0,0.4300841067124397,7,4.0,0,0
規約,0,0.37027421640037006,7,4.0,0,0
規約,0,0.3551887124420117,7,4.0,0,0
規約,0,0.3415172046058485,7,4.0,0,0
規約,0,0.3037708952679168,7,4.0,0,0
規約,0,0.288283776567757,7,4.0,0,0
複数個所,0,0.36072479747692765,1,8.0,0,0
装飾物,0,0.27015460664660074,1,6.0,0,0
装飾品,0,0.396210535659187,3,6.0,0,0
装飾品,0,0.3122578381973705,3,6.0,0,0
装飾品,0,0.2375225377437049,3,6.0,0,0
色,0,0.5467817093907945,5,2.0,5,0
色,0,0.2995611126571582,5,2.0,5,0
色,0,0.2967969726522249,5,2.0,5,0
色,0,0.24809178146206973,5,2.0,5,0
色,0,0.1630889664046808,5,2.0,5,0
自動,0,0.547741215919867,1,4.0,0,0
縦,0,0.31175303872100046,1,2.0,0,0
緑色,0,0.4750450754874098,3,4.0,0,0
緑色,0,0.396210535659187,3,4.0,0,0
緑色,0,0.3122578381973705,3,4.0,0,0
緑,0,0.370935947138463,3,2.0,3,0
緑,0,0.27286662187980276,3,2.0,3,0
緑,0,0.25485290136905436,3,2.0,3,0
経過待ち,0,0.1741593142684597,1,7.1,0,0
節,0,0.17068633794763222,1,2.0,1,0
箇所,0,0.5120590138428966,1,4.0,0,0
競技終了,0,0.1741593142684597,1,8.0,0,0
競技用,0,0.24555580140600558,1,6.0,0,0
競技環境,0,0.41032013564371445,8,8.0,0,0
競技環境,0,0.39916592975868576,8,8.0,0,0
競技環境,0,0.35978458032035115,8,8.0,0,0
競技環境,0,0.33965766393335484,8,8.0,0,0
競技環境,0,0.31419706187835944,8,8.0,0,0
競技環境,0,0.3079139319120537,8,8.0,0,0
競技環境,0,0.2841266725930386,8,8.0,0,0
競技環境,0,0.27014619593818257,8,8.0,0,0
競技内容,0,0.47975853564896637,2,8.0,0,0
競技内容,0,0.4327065330688079,2,8.0,0,0
章,0,0.17068633794763222,1,2.0,10,0
