あかうんと,アカウント,一口、一件、一通
あかうんと,アカウント,一個、一つ、一件
あかがみ,赤紙,一枚、一葉（よう）、一片、一通、一封
あかし,証,一つ
あかしやき,明石焼き,一個、一皿、一舟、一パック、一枚
あくあらんぐ,アクアラング,一本
あくせさりー,アクセサリー,一個、一点
あくせすすう,アクセス数,一件、一回、一ヒット、一アクセス、一ページビュー[PV]、一セッション、一ビジット、一インプレッション、一クリック
あくま,悪魔,一匹・一疋、一人（り／たり・にん）
あくりょくけい,握力計,一台
あこーでぃおん,アコーディオン,一台
あざ,痣,一つ、一個
あしあと,足跡,一つ、一筋（すじ）、一条（すじ・じょう）
あしだ,足駄の歯,一枚、一本
あしだ,足駄,一足、一双（そう）、一揃（そろい）、一組 [左右一揃いで]、一枚 [片方で]
あずかりしょ,預り書,一通、一枚、一葉（よう）、一本
あずかりしょう,預り証,一通、一枚、一葉（よう）、一本
あすぱらがす,アスパラガス,一本、一把（わ）、一束（たば）
あずまごと,東琴,⇒ 琴・箏
あせ,汗,一粒、一滴、一筋（すじ）、一条（すじ・じょう）
あたま,頭,一つ、一個
あつあげ,厚揚げ,一枚、一丁、一片
あつかん,熱燗,一本、一杯、一献（こん）
あっぷらいとぴあの,アップライトピアノ,一台
あっぷるぱい,アップルパイ,一号
あっぷるぱい,アップルパイ,一個、一切（きれ）、一片、一ピース、一カット、一台 [カット前の円形の状態]、一ホール [カット前の円形の状態]
あつりょくがま,圧力釜,一台
あつりょくけい,圧力計,一台
あつりょくなべ,圧力鍋,一台
あてな,宛名,一件
あどばるーん,アドバルーン,一本、一個
あな,穴,一つ、一本・一筋（すじ）・一条（すじ・じょう） [洞穴などの深い穴、長い穴]、一穴（あな・けつ）
あにめーしょん,アニメーション,一本、一作、一作品
あにめーしょん,アニメーション,一枚、一齣（こま）、一カット、一シーン、一場面
あねもね,アネモネ,一本（ほん・もと）、一輪、一株、一球（きゅう・たま）・一個・一玉 [球根で]
あのらっく,アノラック,一着、一枚
あぱーと,アパート,一棟（むね・とう）、一軒、一戸（こ）、一室、一部屋
あぶみ,鐙,一掛・一懸（かけ）、一双、一対、一足（そく）、一具（ぐ・そなえ）、一口（こう・く）、一枚『鉄舌長鐙』
あぶら,油,一瓶、一缶（かん）、一樽、一駄（だ） [ 馬または牛一頭に背負わせる量。八升樽八樽とされた ]、一滴、一匙、一垂（たらし）、一雫（しずく）
あぶらえ,油絵,一枚、一葉（よう）、一幅（ふく）、一面、一点 [主に展示や商品などで]、一号 [大きさ]
あぶらかす,油粕,一袋、一貫（ぬき）
あぶらみ,脂身,一塊（かたまり・かい）、一片
あぼかど,アボカド,一個、一玉、一つ、一顆（か）、一果（か）、一菓（か）
あまがさ,雨傘,一本、一柄（へい・え・から）、一張（はり）[主に和傘で]、一骨[骨の本数で]
あまぐ,雨具,一枚、一領
あまぐ,雨具,一本、一柄（へい・え・から）、一張（はり）[主に和傘で]
あまぐ,雨具,一着、一枚
あまぐつ,雨靴,一足、一双（そう）、一揃（そろい）、一組 [左右一揃いで]
あまぐり,甘栗,一粒、一個、一顆（か）、一袋
あまざけ,甘酒,一杯、一椀・一碗（わん）、一口（くち）、一啜（すす）り [飲む様]
あましょく,甘食,一個、一枚、一袋
あまだれ,雨垂れ,一雫（しずく）、一滴（てき・しずく）
あまど,雨戸,一枚、一本
あまどい,雨樋,一本、一筋（すじ）、一条（すじ・じょう）
あまなっとう,甘納豆,一粒、一袋
あまのがわ,天の川,一筋（すじ）、一条（すじ・じょう）、一道、一帯
あみ,網,一枚
あみ,網,一本、一枚、一張（はり）[霞網などの張り渡す物で]
あみ,網,"一枚、一網 [仕掛ける回数などで]、一式、一具（ぐ）[一式]一反（たん）刺し網で仕上がりの単位。
一張（はり）操業で数反～数十反連結して。
"
あみがさ,編笠,一蓋（かい・がい）、一笠（りゅう）、一頭（かしら）、一枚、一具
あみど,網戸,一枚、一本
あみめ,網目,一目（め）
あめ,雨,一粒、一滴（てき・しずく）、一雫（しずく）、一筋（すじ）、一条（すじ・じょう）、一点、一雨、一降（ふり）、一回、一陣（じん・しきり）、一湿（しめり）
あめ,飴,一個、一粒、一つ、一丸、一石、一本、一箱、一袋、一缶、一籠、一壺
あめーば,アメーバ,一匹・一疋、一粒
あやめかぶと,菖蒲兜,一飾（かざり）
あらし,嵐,一度、一吹（ふき）、一波、一襲、一うねり、一荒（あれ）
あらなわ,荒縄,一本、一筋（すじ）、一条（すじ・じょう）、一把（わ）、一束（たば）、一巻（まき）
あられ,霰,一粒、一降（ふり）、一回、一陣（しきり）
あるばむ,アルバム,一冊、一帖（じょう）、一枚
あるばむ,アルバム,一枚
あるまじろ,アルマジロ,一頭、一匹・一疋
あるみほいーる,アルミホイール,一本、一枚、一組 [四本で]、一セット [四本で]
あわ,粟,一本、一株、一粒 [実で]
あわせ,袷,一枚、一揃（そろい）、一領（りょう）
あわだてき,泡立て器,一本、一挺［一丁］（ちょう）、一台 [電動などで]
あわもり,泡盛,ひとわかし
あん,案,一脚（きゃく・あし）
あん,案,一案、一策（さく）、一計、一件、一つ、一通（とおり）
あん,庵,一軒、一棟（むね・とう）、一宇（う）
あんか,行火,一個、一台
あんかー,アンカー,一基、一台、一個、一本、一丁
あんけーと,アンケート,一件、一枚、一通
あんけん,案件,一件、一本、一つ
あんぜんたい,安全帯,一本、一筋（すじ）、一条（すじ・じょう）、一式、一セット
あんぜんぴん,安全ピン,一本、一箱
あんだ,安打,一本
あんちういるすそふとうぇあ,アンチウイルスソフトウェア,一本、一パッケージ、一ライセンス
あんてな,アンテナ,一本、一基 [大型のもの]、一式
あんどろいど,アンドロイド,一体、一人（り／たり・にん）、一台
あんないかんばん,案内看板,一枚、一面、一基 [「基」は、固定されている大型のものなどで]
あんないばん,案内板,一枚、一面、一基 [「基」は、固定されている大型のものなどで]
あんぷる,アンプル,一本、一筒（とう）、一管、一アンプル
あんまく,暗幕,一枚、一張（はり・ちょう）、一帳（ちょう）、一面
あんもないと,アンモナイト,一匹・一疋、一点 [化石の展示で]
あんらくいす,安楽椅子,一脚、一台、一本、一個
あんるい,暗涙,一粒、一点、一滴（てき・しずく）、一雫（しずく）、一筋（すじ）、一条（すじ・じょう）、一掬（きく）
いーぜる,イーゼル,一台、一架（か）、一基
いーめーる,Eメール,一通、一件、一本、一回
いいん,医院,一院、一軒、一科 [診療科目数で]、一室・一部屋 [入院に使う部屋の数で]、一床（しょう）[入院に使うベッドの数で]
いえ,家,一戸（こ）、一軒、一棟（むね・とう）、一邸、一宇（う）、一構（かまえ）、一世帯（しょたい・せたい）[生活をしている人のまとまりの単位として]
いえい,遺影,一枚、一葉（よう）
いおり,庵,一軒、一棟（むね・とう）、一宇（う）
いおりかんばん,庵看板,一枚
いかい,位階,一位（い）、一品（ほん）
いがい,遺骸,一体、一人（り／たり・にん） [身元が分かって]、一柱（はしら）
いき,息,一つ、一息（いき・そく）、一回、一度
いぐあな,イグアナ,一頭、一匹・一疋
いくさ,戦,一度、一回、一戦（せん）、一軍・一戦（いくさ））、一駆（かけ）、一合戦（かっせん）、一揉（もみ）
いくびょうぽっと,育苗ポット,一個、一ポット [苗が入って]
いくら,イクラ,一粒
いけ,池,一面、一つ、一泓（おう）【
いけばな,生け花,一鉢、一杯、一瓶（へい・びん・かめ）、一点
いけん,意見,一言（こと）、一つ、一件・一通 [投書などで]、一案 [提案で]
いご,囲碁,"初段、二段 … 九段 [名人]
[→ 囲碁の段位・日本棋院]"
いご,囲碁,一目（もく）
いご,囲碁,一目（め）、一間（けん）
いご,囲碁,一局、一番、一戦、一盤【
いご,囲碁,一目（もく）、一石（せき）、一手（て）
いこう,遺構,一基、一条 [溝状のもので]
いこう,衣桁,一架（か）、一台、一懸（かけ）、一基
いこつ,遺骨,一体、一柱（はしら） [神道では一柱]、一片、一本、一口（こう） [骨壺で]
いざかや,居酒屋,一軒、一店、一店舗
いし,石,一個、一塊（かたまり）、一粒・一顆（か） [宝石など]、一石（せき）、一片、一枚、一才（さい）・一切（さい・きれ）、一石（こく）
いしうす,石臼,一基、一腰（こし）、一据（すえ）、一台
いしがき,石垣,一基
いしだん,石段,一段、一級、一本、一基
いしびや,石火矢,一挺［一丁］（ちょう）
いしょ,遺書,一通、一本、一枚、一葉（よう）、一行
いしょう,衣装,一着、一枚、一揃（そろい・そろえ）
いしょくじょう,委嘱状,一枚、一通、一葉（よう）
いす,椅子,一脚、一台、一本、一個
いずみ,泉,一つ、一泉（せん）
いせき,遺跡,一箇所（一か所・一カ所）、一遺跡、一つ、一群
いた,板,一枚、一面、一片
いたい,遺体,一体、一人（り／たり・にん） [身元が分かって]、一柱（はしら）
いたご,板子,一枚
いたちょこ,板チョコ（チョコレート）,一枚、一欠（かけ）、一箱
いたとうば,板塔婆,⇒ 塔婆、⇒ 卒塔婆
いちりづか,一里塚,一基
いちりんしゃ,一輪車,一台
いちりんだいしゃ,一輪台車,一台
いっかくじゅう,一角獣,⇒ ユニコーン
いっきゃく,一脚,一本
いと,糸,"1番手 [紡績した糸の太さを表わす単位。一定の重量に対して長さがいくらあるかで表わす。綿番手での1番手は、重さ1ポンド（453.6g) で長さ840ヤード（768.1m) ]
1テックス [繊維や糸の太さを表す単位。1テックスは長さ1,000mで重さ1g]
1デニ－ル [繊維や糸の太さを表わす繊度の単位。1デニールは9,000mで重さ1g]"
いと,糸,一本、一巻（まき）、一筋（すじ）、一条（すじ・じょう）、一縷（る）、一掛、一綛（かせ）[枠に巻いた状態]、一把（わ）[束ねた状態]、一束[束ねた状態]、一玉（たま）[糸を結束したもので、1玉は10ポンド]、一梱（こり）[通常、輸出用綿糸の梱包を言い、1梱は40玉＝400ポンド]、一屯（とん）[古代日本での数え方。寛政8年・1796年[今から 224年前]に編纂された『都会節用百家通とかいせつようひゃっかつう 』に、「今は一把と云う」とある。また、「一屯」に「ヒトマロメ」との読み方も記されている。］
いど,井戸,一本 [井戸穴]、一基 [井戸全体。主に揚水装置・揚水機を取り付けた状態で]、一井（せい）
いどうしきこくばん,移動式黒板,一台、一枚、一面
いどうしきはくばん,移動式白板,一台、一枚、一面
いどうしょか,移動書架,⇒ 移動棚
いどうだな,移動棚,一台、一列、一基、一本、一架、一連、一段 [棚の段数で]
いどうぶっぴんだな,移動物品棚,⇒ 移動棚
いどうらっく,移動ラック,⇒ 移動棚
いどぽんぷ,井戸ポンプ,一台、一基
いなぎ,稲木,一本
いなぐい,稲杭,一本
いなずま,稲妻,一本、一閃（せん）、一筋（すじ）、一条（すじ・じょう）
いなだ,イナダ,一匹・一疋、一尾（び）、一本
いなたば,稲束,⇒ 稲
いななき,嘶き,一声
いなびかり,稲光,一本、一閃（せん）、一筋（すじ）、一条（すじ・じょう）
いなほ,稲穂,"一本、一穂（すい）、一穎（かい・かび）
「延喜式（えんぎしき）」に見る『穎』 「国史大系 第13巻」より（国立国会図書館所蔵）"
いなりじんじゃ,稲荷神社,⇒ 神社
いなりほこら,稲荷祠,一宇（う）、一前（ぜん）、一棟（むね・とう）、一祠（し）
いなりみょうじん,稲荷明神,一宇（う）、一前（ぜん）、一棟（むね・とう）、一祠（し）
いにんじょう,委任状,一枚、一通、一葉（よう）
いぬ,犬,一匹・一疋、一頭、一牙（きば・げ）
いぬごや,犬小屋,一台、一個、一つ、一棟、一軒
いぬぞり,犬橇,一台、一頭立（たて・たち）
いね,稲,一株（かぶ）、一本、一穂（すい）、一把（わ）[刈り取って]、一束（たば・そく・つか）[刈り取った十把]、一束（つか）ね、一粒 [種籾で]、一穎（かい・かび） [稲穂で]
いはい,位牌,一柱（はしら）、一体、一本、一基
いばく,帷幕,一帳（はり）
いひん,遺品,一点
いふく,衣服,一枚、一着、一衣（え）、一点、一領（りょう）、一揃（そろい）、一重（かさね）、一襲（かさね・しゅう）
いぶにんぐどれす,イブニングドレス,一着
いぼく,遺墨,一幅（ふく）、一枚、一点、一通
いみ,意味,一つ
いやくひん,医薬品,"一服、一包、一裹（つつみ）、一剤、一貼（ちょう・はり・つけ）、一盛（もり）、一錠、一粒（つぶ・りゅう）、一貝（かい・ばい）、一滴、一本、一枚、一筒（とう）、一管 
"
いやりんぐ,イヤリング,一組、一セット、一対、一双、一個 [片方、もしくは一つで使う場合]、一本 [長いもの]
いるい,衣類,一枚、一着、一点、一領（りょう）、一揃（そろい）、一重（かさね）、一襲（かさね・しゅう）
いるみねーしょん,イルミネーション,一本、一灯
いるりがーとるだい,イルリガートル台,一台
いれば,入れ歯,一枚、一本、一床（しょう）、一組 [上下で]、一揃（そろい）
いろ,色,一色（いろ・しょく）、一彩（さい）、一種（しゅ）、一種類（しゅるい）《付録》色彩辞典・日本の色 - JIS規定慣用色名
いろえんぴつ,色鉛筆,一本、一色 [「二十四色セット」など]
いろり,囲炉裏,一基
いわいばし,祝い箸,一膳（ぜん）[二本で]、一揃（そろい・そろえ）、一組、一人前、一具（ぐ）、一双（そう）、一前（ぜん）、一本 [片方で]
いわお,巌,一枚
いわたおび,岩田帯,一本、一筋（すじ）、一条（すじ・じょう）、一枚
いんがし,印画紙,一枚、一葉（よう）、一袋、一箱、一ロール、一巻
いんかん,印鑑,一本、一個、一顆（か）
いんかんしょうめいしょ,印鑑証明書,一通、一枚、一葉（よう）
いんかんとうろく,印鑑登録,一件、一回、一度
いんかんとうろくしょうめいしょ,印鑑登録証明書,一通、一枚、一葉（よう）
いんくすたんど,インクスタンド,一台
いんさつき,印刷物,初校 [一校]、再校 [二校]、三校 …、念校、責了
