単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,"Scored Probabilities for Class ""0""","Scored Probabilities for Class ""1""","Scored Probabilities for Class ""2""",Scored Labels
黒線,0,0.3789773828011361,3,1.0,0,0.0,0.512194633483887,0.43421050906181297,0.0535948537290096,0.0
黒線,0,0.27678791000385583,3,1.0,0,0.0,0.512610793113709,0.4338400959968571,0.0535491406917572,0.0
黒線,0,0.2713401347218836,3,1.0,0,0.0,0.512632966041565,0.43382033705711404,0.0535466894507408,0.0
黒ブロック,0,0.3815472572713995,4,2.5,11,0.0,0.368317723274231,0.45837852358818104,0.173303782939911,1.0
黒ブロック,0,0.306829863445963,4,2.5,11,0.0,0.368601083755493,0.458172857761383,0.17322601377964,1.0
黒ブロック,0,0.2776651117996205,4,2.5,11,0.0,0.36871170997619607,0.45809257030487105,0.173195660114288,1.0
黒ブロック,0,0.2388665360543044,4,2.5,11,0.0,0.368858933448792,0.45798575878143294,0.173155277967453,1.0
領域,0,0.4413907817577392,1,1.0,0,0.0,0.539292395114899,0.42615842819213895,0.0345491208136082,0.0
順番,0,0.4353307501666342,1,1.0,0,0.0,0.539317011833191,0.426135748624802,0.0345472767949104,0.0
順位,0,0.3520911188701589,1,1.0,0,0.0,0.539654076099396,0.42582395672798207,0.0345220007002354,0.0
進入以降具体的,0,0.20948846184618009,1,3.5,0,0.0,0.37509185075759904,0.577102303504944,0.0478057824075222,1.0
通過方向,0,0.7071067811865476,1,2.0,0,0.0,0.47115316987037703,0.48887041211128207,0.0399764589965343,1.0
走行順,0,0.4353307501666342,1,1.5,0,0.0,0.505813360214233,0.456978857517242,0.0372078344225883,0.0
走行体,0,0.4442320302311405,12,1.5,0,0.0,0.290993362665176,0.38916507363319397,0.319841623306274,1.0
走行体,0,0.3795913452046577,12,1.5,0,0.0,0.291210770606995,0.38904571533203103,0.319743543863297,1.0
走行体,0,0.3574309984706648,12,1.5,0,0.0,0.291285306215286,0.38900476694107106,0.3197098970413211,1.0
走行体,0,0.2799105202972461,12,1.5,0,0.0,0.291546225547791,0.38886159658432,0.319592237472534,1.0
走行体,0,0.2733637404227928,12,1.5,0,0.0,0.291568249464035,0.38884949684143105,0.31958228349685697,1.0
走行体,0,0.267285609044496,12,1.5,0,0.0,0.291588693857193,0.38883823156356795,0.319573014974594,1.0
走行体,0,0.2640779031457273,12,1.5,0,0.0,0.29159951210022,0.38883230090141296,0.319568157196045,1.0
走行体,0,0.23667608721326136,12,1.5,0,0.0,0.291691780090332,0.38878169655799893,0.319526553153992,1.0
走行体,0,0.22454023344141086,12,1.5,0,0.0,0.29173263907432595,0.388759255409241,0.319508105516434,1.0
走行体,0,0.18934304237082394,12,1.5,0,0.0,0.29185122251510603,0.38869419693946794,0.31945464015007,1.0
走行体,0,0.18347298241934729,12,1.5,0,0.0,0.29187095165252697,0.388683289289474,0.319445699453354,1.0
走行体,0,0.16837363706347788,12,1.5,0,0.0,0.291921854019165,0.38865542411804205,0.319422781467438,1.0
走行タイム,0,0.7771879686869645,5,2.5,0,0.0,0.38014975190162703,0.5207210183143621,0.0991292670369148,1.0
走行タイム,0,0.4605773001801841,5,2.5,0,0.0,0.381366461515427,0.519698858261108,0.0989346653223038,1.0
