単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Labels,Scored Probabilities
黒線,0,0.255475000570577,2,4,1,"",0,0.361998349428177
黒線,0,0.244006817159855,2,4,1,"",0,0.361998349428177
黒ブロック,0,0.374176324667804,4,6.8,7,"",1,0.5845987200737
黒ブロック,0,0.254467338688441,4,6.8,7,"",1,0.5845987200737
黒ブロック,0,0.238851839119834,4,6.8,7,"",1,0.5845987200737
黒ブロック,0,0.224606619692674,4,6.8,7,"",1,0.5845987200737
領域,0,0.430551021781083,1,4,0,"",0,0.338135033845901
順番,0,0.404532452313076,1,4,0,"",0,0.338135033845901
順位,0,0.321562176603937,1,4,0,"",0,0.338135033845901
静止,0,0.255526811388178,2,4,0,"",0,0.347559571266174
静止,0,0.253466879613994,2,4,0,"",0,0.347559571266174
青斜線,0,0.608981787585673,1,6,0,"",0,0.412682622671127
隣接,0,0.296198618699508,1,4,0,"",0,0.338135033845901
隠す,0,0.342079655070583,1,3.1,0,"",0,0.306816577911377
除く,0,0.258673409704824,1,3.1,0,"",0,0.306816577911377
除い,0,0.432862504398673,1,3.1,0,"",0,0.306816577911377
限ら,0,0.370887160150767,1,3.1,0,"",0,0.306816577911377
開始,0,0.567705564667961,1,4,0,"",0,0.338135033845901
重なる,0,0.325576217632757,1,4.2,0,"",0,0.345304578542709
配布,0,0.45208213859462,2,4,0,"",0,0.347559571266174
配布,0,0.36925748783473,2,4,0,"",0,0.347559571266174
選択,0,0.0970950306411912,1,4,0,"",0,0.338135033845901
過ぎる,0,0.168508279893202,1,4.2,0,"",0,0.345304578542709
進入以降具体的,0,0.207757464095876,1,14,0,"",1,0.715455889701843
通過方向,0,0.707106781186547,1,8,0,"",0,0.491461604833603
通過,0,0.566340902526261,4,4,2,"",0,0.396527856588364
通過,0,0.49958366068952,4,4,2,"",0,0.396527856588364
通過,0,0.413403149004882,4,4,2,"",0,0.396527856588364
通過,0,0.237423747641464,4,4,2,"",0,0.396527856588364
通知,0,0.36925748783473,2,4,0,"",0,0.347559571266174
通知,0,0.154541244360354,2,4,0,"",0,0.347559571266174
跨が,0,0.255475000570577,2,3.1,0,"",0,0.315784692764282
跨が,0,0.244006817159855,2,3.1,0,"",0,0.315784692764282
超え,0,0.252991892162454,1,3.1,0,"",0,0.306816577911377
起き,0,0.444067892420818,1,3.1,0,"",0,0.306816577911377
走行順,0,0.404532452313076,1,6,0,"",0,0.412682622671127
走行体全体,0,0.319555722706483,2,10,0,"",1,0.580884397029877
走行体全体,0,0.187925466836749,2,10,0,"",1,0.580884397029877
走行体,0,0.369866126719957,10,6,2,"",1,0.537372767925262
走行体,0,0.368704471914999,10,6,2,"",1,0.537372767925262
走行体,0,0.277587580693209,10,6,2,"",1,0.537372767925262
走行体,0,0.264549537308138,10,6,2,"",1,0.537372767925262
走行体,0,0.259532325268604,10,6,2,"",1,0.537372767925262
走行体,0,0.2397217363541,10,6,2,"",1,0.537372767925262
走行体,0,0.219569821693729,10,6,2,"",1,0.537372767925262
走行体,0,0.165706940932248,10,6,2,"",1,0.537372767925262
走行体,0,0.164826869894095,10,6,2,"",1,0.537372767925262
走行体,0,0.133500805612904,10,6,2,"",1,0.537372767925262
走行タイム,0,0.717993967197035,4,7.6,1,"",1,0.522653698921204
走行タイム,0,0.450739192401615,4,7.6,1,"",1,0.522653698921204
走行タイム,0,0.411207561201055,4,7.6,1,"",1,0.522653698921204
走行タイム,0,0.303860725026611,4,7.6,1,"",1,0.522653698921204
走行,0,0.348393772139338,6,4,19,"",1,0.676145851612091
走行,0,0.302067499761601,6,4,19,"",1,0.676145851612091
走行,0,0.296338755300443,6,4,19,"",1,0.676145851612091
走行,0,0.239212220479472,6,4,19,"",1,0.676145851612091
走行,0,0.211159953787165,6,4,19,"",1,0.676145851612091
走行,0,0.18820233438718,6,4,19,"",1,0.676145851612091
赤い線,0,0.255475000570577,2,5.1,0,"",0,0.388295561075211
赤い線,0,0.244006817159855,2,5.1,0,"",0,0.388295561075211
詳細,0,0.597682707517079,1,4,0,"",0,0.338135033845901
該当ゲート,0,0.348436337407365,1,7.6,0,"",0,0.475543797016144
試走会,0,0.36925748783473,2,6,0,"",0,0.422857463359833
試走会,0,0.304539983261456,2,6,0,"",0,0.422857463359833
設置,0,0.431743641964629,16,4,2,"",1,0.520497381687164
設置,0,0.319346590761317,16,4,2,"",1,0.520497381687164
設置,0,0.266092915931646,16,4,2,"",1,0.520497381687164
設置,0,0.259631196767882,16,4,2,"",1,0.520497381687164
設置,0,0.244509473655516,16,4,2,"",1,0.520497381687164
設置,0,0.239672252006945,16,4,2,"",1,0.520497381687164
設置,0,0.228415058107778,16,4,2,"",1,0.520497381687164
設置,0,0.224083140572748,16,4,2,"",1,0.520497381687164
設置,0,0.212151347101702,16,4,2,"",1,0.520497381687164
設置,0,0.196939357175711,16,4,2,"",1,0.520497381687164
設置,0,0.196874813035985,16,4,2,"",1,0.520497381687164
設置,0,0.192427163682095,16,4,2,"",1,0.520497381687164
設置,0,0.183143625155051,16,4,2,"",1,0.520497381687164
設置,0,0.173054553517468,16,4,2,"",1,0.520497381687164
設置,0,0.156184748983885,16,4,2,"",1,0.520497381687164
設置,0,0.150860997322534,16,4,2,"",1,0.520497381687164
設けられ,0,0.433814940074113,3,5.3,0,"",0,0.405939489603043
設けられ,0,0.391232060579484,3,5.3,0,"",0,0.405939489603043
設けられ,0,0.250750168017001,3,5.3,0,"",0,0.405939489603043
記す,0,0.540385362120634,1,3.1,0,"",0,0.306816577911377
計算,0,0.462436955351768,2,4,0,"",0,0.347559571266174
計算,0,0.397074774664753,2,4,0,"",0,0.347559571266174
計測終了操作,0,0.168508279893202,1,12,0,"",1,0.646411418914795
計測方法,0,0.554626772058336,1,8,0,"",0,0.491461604833603
計測,0,0.384738578141146,3,4,8,"",0,0.479189395904541
計測,0,0.320916204091136,3,4,8,"",0,0.479189395904541
計測,0,0.217144169623533,3,4,8,"",0,0.479189395904541
計8個,0,0.431904220081461,1,5,0,"",0,0.374665886163712
計10個,0,0.29390305250668,1,6,0,"",0,0.412682622671127
触れ,0,0.237232916056441,2,3.1,0,"",0,0.315784692764282
触れ,0,0.154439356129262,2,3.1,0,"",0,0.315784692764282
規約説明,0,0.370887160150767,1,8,0,"",0,0.491461604833603
規定,0,0.465763975600498,1,4,0,"",0,0.338135033845901
見なす,0,0.255475000570577,2,4.2,0,"",0,0.354821801185608
