単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
黒線,0,0.378977382801136,3,1,0,214.5,0.544053912162781,0.392321079969406,0.0636250302195549,0
黒線,0,0.276787910003856,3,1,0,214.5,0.544053912162781,0.392321079969406,0.0636250302195549,0
黒線,0,0.271340134721884,3,1,0,214.5,0.544053912162781,0.392321079969406,0.0636250302195549,0
黒ブロック,0,0.381547257271399,4,2.5,11,20.5,0.361858814954758,0.485686719417572,0.152454480528831,1
黒ブロック,0,0.306829863445963,4,2.5,11,20.5,0.361858814954758,0.485686719417572,0.152454480528831,1
黒ブロック,0,0.277665111799621,4,2.5,11,20.5,0.361858814954758,0.485686719417572,0.152454480528831,1
黒ブロック,0,0.238866536054304,4,2.5,11,20.5,0.361858814954758,0.485686719417572,0.152454480528831,1
領域,0,0.441390781757739,1,1,0,111,0.506890654563904,0.428127348423004,0.0649819672107697,0
順番,0,0.435330750166634,1,1,0,25,0.47562238574028,0.458111137151718,0.0662664547562599,0
順位,0,0.352091118870159,1,1,0,47,0.483619004487991,0.45042011141777,0.0659608617424965,0
進入以降具体的,0,0.20948846184618,1,3.5,0,1.75,0.373828828334808,0.568560838699341,0.0576103515923023,1
通過方向,0,0.707106781186548,1,2,0,37,0.442208617925644,0.494953274726868,0.0628380924463272,1
走行順,0,0.435330750166634,1,1.5,0,3,0.448784202337265,0.4863341152668,0.0648816525936127,1
走行体,0,0.44423203023114,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.379591345204658,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.357430998470665,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.279910520297246,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.273363740422793,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.267285609044496,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.264077903145727,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.236676087213261,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.224540233441411,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.189343042370824,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.183472982419347,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行体,0,0.168373637063478,12,1.5,0,10.5,0.450129985809326,0.482236236333847,0.0676338523626328,1
走行タイム,0,0.777187968686964,5,2.5,0,26.5,0.419176399707794,0.518673002719879,0.0621506385505199,1
走行タイム,0,0.460577300180184,5,2.5,0,26.5,0.419176399707794,0.518673002719879,0.0621506385505199,1
走行タイム,0,0.43409689845488,5,2.5,0,26.5,0.419176399707794,0.518673002719879,0.0621506385505199,1
走行タイム,0,0.40147987012042,5,2.5,0,26.5,0.419176399707794,0.518673002719879,0.0621506385505199,1
走行タイム,0,0.36280683595788,5,2.5,0,26.5,0.419176399707794,0.518673002719879,0.0621506385505199,1
