単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
黒線領域,0,0.416420576866784,1,2,0,180,0.575080752372742,0.410114884376526,0.0148043837398291,0
黒線,0,0.200556132428184,1,1,2,214.5,0.674443423748016,0.306730926036835,0.0188256651163101,0
黒ブロック,0,0.518305456413089,3,2.5,15,20.5,0.500176787376404,0.396333903074265,0.103489384055138,0
黒ブロック,0,0.418756197201493,3,2.5,15,20.5,0.511000037193298,0.383271187543869,0.105728782713413,0
黒ブロック,0,0.283541089087942,3,2.5,15,20.5,0.525477707386017,0.365798056125641,0.108724296092987,0
黄計8個ブロック,0,0.325860131107968,1,3.5,0,6.8,0.475433349609375,0.509949922561646,0.0146166980266571,1
静止,0,0.227446167131431,2,1,0,2,0.590366721153259,0.389511436223984,0.020121905952692,0
静止,0,0.222348051951616,2,1,0,2,0.591013252735138,0.388842791318893,0.0201439429074526,0
難所設置,0,0.577350269189626,1,2,0,2,0.531033277511597,0.454687118530273,0.0142797501757741,0
隣接,0,0.235629199543308,1,1,0,1,0.632817387580872,0.35162764787674,0.0155549803748727,0
隠れ,0,0.734453861465561,1,0.6,0,5,0.59317934513092,0.392769753932953,0.0140509512275457,0
関連文章,0,0.277195032688478,1,2,0,26,0.573675215244293,0.4109887778759,0.0153359863907099,0
開始,0,0.458487565812462,1,1,1,46,0.617425382137299,0.366155415773392,0.0164191983640194,0
配布,0,0.289345041671128,1,1,1,12,0.63419234752655,0.348801523447037,0.0170061439275742,0
部分記載,0,0.561550817982142,2,2,0,156,0.507693648338318,0.474072456359863,0.018233884125948,0
部分記載,0,0.561550817982142,2,2,0,156,0.507693648338318,0.474072456359863,0.018233884125948,0
部分,0,1,4,1,9,285,0.488010704517365,0.445051848888397,0.0669374540448189,0
部分,0,1,4,1,9,285,0.488010704517365,0.445051848888397,0.0669374540448189,0
部分,0,1,4,1,9,285,0.488010704517365,0.445051848888397,0.0669374540448189,0
部分,0,1,4,1,9,285,0.488010704517365,0.445051848888397,0.0669374540448189,0
選択,0,0.419204231975512,1,1,0,24,0.612785279750824,0.372236847877502,0.0149779496714473,0
進入,0,0.375454457413158,1,1,0,7,0.616196095943451,0.368679702281952,0.0151241784915328,0
通過方向,0,0.404040949161404,1,2,0,37,0.558486640453339,0.426623553037643,0.0148897701874375,0
通過,0,0.585672473614499,4,1,4,4,0.478032231330872,0.477116703987122,0.0448510497808456,0
通過,0,0.36267659662847,4,1,4,4,0.505978405475616,0.446548491716385,0.0474730841815472,0
通過,0,0.334676360460642,4,1,4,4,0.509465873241425,0.442733883857727,0.0478002913296223,0
通過,0,0.166125232129167,4,1,4,4,0.530314743518829,0.419928878545761,0.0497564300894737,0
通知,0,0.348003306596886,2,1,0,34,0.578989446163177,0.401430517435074,0.0195800326764584,0
通知,0,0.195897888582396,2,1,0,34,0.598322749137878,0.381443411111832,0.0202338416129351,0
走行開始,0,0.458487565812462,1,2,0,23,0.54951548576355,0.435783565044403,0.0147009259089828,0
