単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
閲覧,0,0.437029450470441,1,1,4,7,0.643872857093811,0.333810657262802,0.0223164837807417,0
開催年度,0,0.376054691087673,3,2,0,6.5,0.380618542432785,0.596483647823334,0.0228978581726551,1
開催年度,0,0.339399640677815,3,2,0,6.5,0.384587317705154,0.592276036739349,0.0231366157531738,1
開催年度,0,0.232377439143722,3,2,0,6.5,0.396246373653412,0.579915642738342,0.0238380189985037,1
開催予定インターンシップ情報一覧確認,0,0.444783854414465,1,8.7,0,17.5,0.193786934018135,0.796609222888947,0.0096037806943059,1
部署名,0,0.277187930047592,1,1.5,0,9.5,0.60700386762619,0.377621322870255,0.0153748439624906,0
選択,0,0.279217931297692,1,1,1,24,0.643454670906067,0.339575827121735,0.0169695299118757,0
達成,0,0.632389094855768,1,1,1,33,0.606690347194672,0.377338171005249,0.0159714594483376,0
連絡先電話番号,0,0.337961372895114,4,3.5,1,19,0.27617135643959,0.695829808712006,0.0279988441616297,1
連絡先電話番号,0,0.301387475594748,4,3.5,1,19,0.279529064893723,0.692131698131561,0.0283392481505871,1
連絡先電話番号,0,0.254691254300514,4,3.5,1,19,0.283848762512207,0.687373995780945,0.0287771970033646,1
連絡先電話番号,0,0.220313825349471,4,3.5,1,19,0.287052035331726,0.683845996856689,0.029101949185133,1
連絡先メールアドレス,0,0.337961372895114,4,4.7,0,24.6666666666667,0.252815186977386,0.723363518714905,0.0238212011754513,1
連絡先メールアドレス,0,0.301387475594748,4,4.7,0,24.6666666666667,0.256012111902237,0.719865500926971,0.0241224300116301,1
連絡先メールアドレス,0,0.254691254300514,4,4.7,0,24.6666666666667,0.260129481554031,0.715360164642334,0.024510383605957,1
連絡先メールアドレス,0,0.220313825349471,4,4.7,0,24.6666666666667,0.263186037540436,0.712015569210052,0.0247983746230602,1
通り,0,0.211846734173213,1,0.6,0,30,0.666756629943848,0.317780077457428,0.0154632115736604,0
評定項目値,0,0.362198688791785,1,2.5,0,50.6666666666667,0.541676342487335,0.443381935358047,0.0149416765198112,0
評定項目,0,0.288666082095837,1,2,1,40.5,0.586219429969788,0.396861612796783,0.0169189758598804,0
評定閲覧,0,1,1,2,0,25.5,0.496286898851395,0.490583151578903,0.0131300548091531,0
評定書項目,0,0.211846734173213,1,2.5,0,67.6666666666667,0.560561776161194,0.424027591943741,0.0154106402769685,0
評定書確定,0,0.437029450470441,1,2.5,0,64,0.534507155418396,0.45078781247139,0.01470504142344,0
評定書入力,0,0.253866425708573,2,2.5,0,55.3333333333333,0.497947514057159,0.482942193746567,0.0191102847456932,0
評定書入力,0,0.192612175559917,2,2.5,0,55.3333333333333,0.504957020282745,0.475663721561432,0.0193792935460806,0
評定コメントアドバイス入力,0,1,1,6.5,0,18.75,0.242906749248505,0.747294425964355,0.0097987474873662,1
評定コメント,0,0.684064918279057,1,3,1,23.5,0.478336274623871,0.50645500421524,0.0152086615562439,1
記述,0,0.538062903911817,5,1,0,3,0.661747455596924,0.305322736501694,0.0329297371208668,0
記述,0,0.515778628667313,5,1,0,3,0.663886785507202,0.303077012300491,0.0330361872911453,0
記述,0,0.255045243742936,5,1,0,3,0.688238382339478,0.27751362323761,0.0342479646205902,0
記述,0,0.159730480426325,5,1,0,3,0.696817934513092,0.268507182598114,0.0346749015152454,0
記述,0,0.15893851173728,5,1,0,3,0.696888506412506,0.268433123826981,0.0346784070134163,0
要求仕様,0,0.278286438097661,1,2,1,30.5,0.586347997188568,0.396695792675018,0.016956239938736,0
自身参加決定,0,0.371759901539741,1,3,0,16,0.506162762641907,0.479106515645981,0.0147306704893708,0
自社企業開催,0,0.401758387241426,1,3,0,26,0.503757178783417,0.481611132621765,0.0146316485479474,0
自己評価,0,0.457505082000636,2,2,1,31,0.520488023757935,0.458608090877533,0.0209038890898228,0
自己評価,0,0.191657174286739,2,2,1,31,0.550504326820374,0.427386343479156,0.0221094079315662,0
自分識別番号,0,0.434185145813231,1,3,0,1,0.497362017631531,0.488120377063751,0.0145176183432341,0
職階,0,0.277187930047592,1,1,0,0,0.634912431240082,0.349711060523987,0.0153765669092536,0
総合評価教員,0,0.288666082095837,1,3,0,27.6666666666667,0.51698100566864,0.468008249998093,0.0150107825174928,0
総合評価,0,1,1,2,1,31,0.504367291927338,0.481048673391342,0.0145840458571911,0
確認,0,0.288666082095837,1,1,10,3,0.687036752700806,0.272077441215515,0.0408858247101307,0
確定フラグ,0,0.362198688791785,1,2.5,0,31,0.539610743522644,0.44544643163681,0.0149427950382233,0
確定,0,0.558435862595384,1,1,2,26,0.620612919330597,0.361486285924912,0.0179007444530725,0
目標反省自己評価入力,0,1,1,5,0,18.6,0.318026751279831,0.670821666717529,0.0111515503376722,1
目標,0,0.425089507571649,3,1,1,29,0.598140120506287,0.376084268093109,0.025775583460927,0
目標,0,0.285757495260132,3,1,1,29,0.61293613910675,0.36065074801445,0.02641318179667,0
目標,0,0.178077702402463,3,1,1,29,0.624186396598816,0.348915547132492,0.0268979929387569,0
登録更新,0,0.409505109683247,1,2,0,20.5,0.563592314720154,0.421482235193253,0.0149254975840449,0
登録参加学生決定,0,0.652967827798065,1,4,0,25.75,0.413586616516113,0.573223412036896,0.0131899071857333,1
登録,0,0.514414080127092,6,1,14,31,0.673562228679657,0.207955911755562,0.118481777608395,0
登録,0,0.461095223205374,6,1,14,31,0.677091836929321,0.203805550932884,0.119102656841278,0
登録,0,0.398858032066078,6,1,14,31,0.681145012378693,0.199039295315742,0.11981563270092,0
登録,0,0.394451516624337,6,1,14,31,0.681429266929626,0.198705032467842,0.119865633547306,0
登録,0,0.347725660736765,6,1,14,31,0.684421479701996,0.195186540484428,0.120391964912415,0
登録,0,0.272817230635437,6,1,14,31,0.689134299755096,0.189644753932953,0.121220953762531,0
発行,0,0.357494052004305,1,1,3,0,0.645404994487762,0.33412167429924,0.0204733777791262,0
流れ,0,0.278286438097661,1,0.6,0,29,0.659921586513519,0.32477068901062,0.0153077263385057,0
注意,0,0.253019507145124,2,1,1,8,0.600797891616821,0.377125024795532,0.0220770817250013,0
注意,0,0.191657174286739,2,1,1,8,0.607393383979797,0.370287179946899,0.0223194416612387,0
注力,0,0.307548184494409,2,1,0,0,0.587530434131622,0.3927061855793,0.0197633821517229,0
注力,0,0.191657174286739,2,1,0,0,0.600183367729187,0.379627585411072,0.0201889984309673,0
氏名,0,0.320334851420334,3,1,6,26,0.61480313539505,0.342669814825058,0.0425270795822144,0
氏名,0,0.270702971128491,3,1,6,26,0.61976283788681,0.337367027997971,0.0428701490163803,0
氏名,0,0.234164330717126,3,1,6,26,0.623389959335327,0.333489000797272,0.043121051043272,0
次項目5段階評価,0,0.395006338324738,1,3.5,0,23.8,0.473435461521149,0.512149572372437,0.0144149409607053,1
欄入力,0,0.307548184494409,2,1.5,0,12.5,0.558935284614563,0.421412646770477,0.0196520518511534,0
欄入力,0,0.191657174286739,2,1.5,0,12.5,0.571872711181641,0.408020406961441,0.0201069321483374,0
機能使用,0,0.366793294568116,3,2,0,15,0.579050183296204,0.397831231355667,0.0231185909360647,0
