単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Labels,Scored Probabilities
２種類,0,0.329756124458667,1,5,0,0,0,0.364413499832153
黒線,0,0.392853563190761,3,4,0,0,0,0.350136667490005
黒線,0,0.255753271830819,3,4,0,0,0,0.350136667490005
黒線,0,0.243461519843767,3,4,0,0,0,0.350136667490005
黒ブロック,0,0.375129248924623,4,6.8,11,0,1,0.644072949886322
黒ブロック,0,0.264757939870032,4,6.8,11,0,1,0.644072949886322
黒ブロック,0,0.258596995075106,4,6.8,11,0,1,0.644072949886322
黒ブロック,0,0.247593650212339,4,6.8,11,0,1,0.644072949886322
黒,0,0.459218033873,2,2,18,0,1,0.552707493305206
黒,0,0.291696908656094,2,2,18,0,1,0.552707493305206
黄,0,0.373832949498385,3,2,0,0,0,0.282732844352722
黄,0,0.275463211650007,3,2,0,0,0,0.282732844352722
黄,0,0.259453663578717,3,2,0,0,0,0.282732844352722
駐車領域,0,0.49365599038122,5,8,0,0,1,0.525141417980194
駐車領域,0,0.349469041527008,5,8,0,0,1,0.525141417980194
駐車領域,0,0.313127923833253,5,8,0,0,1,0.525141417980194
駐車領域,0,0.301711173688524,5,8,0,0,1,0.525141417980194
駐車領域,0,0.265913647027559,5,8,0,0,1,0.525141417980194
領域,0,0.448635962227177,1,4,5,0,0,0.405628085136414
順番,0,0.410834946284818,1,4,0,0,0,0.32904389500618
順位,0,0.340176942488885,1,4,0,0,0,0.32904389500618
静止し,0,0.303595805527403,1,5.1,0,0,0,0.368040204048157
青,0,0.373832949498385,3,2,0,0,0,0.282732844352722
青,0,0.275463211650007,3,2,0,0,0,0.282732844352722
青,0,0.259453663578717,3,2,0,0,0,0.282732844352722
難所,0,0.416799960909988,1,4,2,0,0,0.35885551571846
障害物回避,0,0.277121832913277,1,10,0,0,1,0.556016206741333
障害物,0,0.341861377045859,3,6,1,0,0,0.440325230360031
障害物,0,0.288754980395363,3,6,1,0,0,0.440325230360031
障害物,0,0.242665119749824,3,6,1,0,0,0.440325230360031
関連文章,0,0.25888938051225,1,8,0,0,0,0.478139489889145
関連文書,0,0.443548680582757,1,8,0,0,0,0.478139489889145
関連ファイル,0,0.321615810249238,1,8.8,0,0,1,0.509375214576721
間,0,0.445032631262,2,2,20,0,1,0.585111737251282
間,0,0.41219060136776,2,2,20,0,1,0.585111737251282
重な,0,0.322465124764835,1,3.1,1,0,0,0.312801986932755
部分,0,0.442752982172941,3,4,5,0,0,0.428494960069656
部分,0,0.442752982172941,3,4,5,0,0,0.428494960069656
部分,0,0.350845893171428,3,4,5,0,0,0.428494960069656
運び,0,0.552117201710039,1,3.1,0,0,0,0.298774361610413
進入以降具体的,0,0.206977511290914,1,14,0,0,1,0.70057225227356
進入ライン,0,0.637114474957254,2,7.6,0,0,0,0.474282145500183
進入ライン,0,0.286027624754972,2,7.6,0,0,0,0.474282145500183
進入し,0,0.381110707641566,2,5.1,0,0,0,0.379046678543091
進入し,0,0.36161741269383,2,5.1,0,0,0,0.379046678543091
通過方向,0,0.707106781186548,1,8,0,0,0,0.478139489889145
通過図5,0,0.444671362872132,1,7,0,0,0,0.439362049102783
通過ライン,0,0.559687763833871,2,7.6,0,0,0,0.474282145500183
通過ライン,0,0.286027624754972,2,7.6,0,0,0,0.474282145500183
