単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Labels,Scored Probabilities
黒線,0,0.382427171567853,3,4,0,0,0,0.350136667490005
黒線,0,0.252274819377514,3,4,0,0,0,0.350136667490005
黒線,0,0.23986633479115,3,4,0,0,0,0.350136667490005
黒ブロック,0,0.374391905628336,4,6.8,11,0,1,0.644072949886322
黒ブロック,0,0.250385432075587,4,6.8,11,0,1,0.644072949886322
黒ブロック,0,0.242118431012541,4,6.8,11,0,1,0.644072949886322
黒ブロック,0,0.241042263708171,4,6.8,11,0,1,0.644072949886322
黒,0,0.45305801013384,2,2,18,0,1,0.552707493305206
黒,0,0.290444650897615,2,2,18,0,1,0.552707493305206
黄,0,0.370935947138463,3,2,0,0,0,0.282732844352722
黄,0,0.272866621879803,3,2,0,0,0,0.282732844352722
黄,0,0.254852901369054,3,2,0,0,0,0.282732844352722
領域,0,0.441785432224419,1,4,0,0,0,0.32904389500618
順番,0,0.413285382931067,1,4,0,0,0,0.32904389500618
順位,0,0.334778956719478,1,4,0,0,0,0.32904389500618
青,0,0.370935947138463,3,2,0,0,0,0.282732844352722
青,0,0.272866621879803,3,2,0,0,0,0.282732844352722
青,0,0.254852901369054,3,2,0,0,0,0.282732844352722
難所,0,0.39025082063578,1,4,2,0,0,0.35885551571846
関連文章,0,0.151010968072147,1,8,0,0,0,0.478139489889145
関連文書,0,0.442457613056155,1,8,0,0,0,0.478139489889145
関連ファイル,0,0.316789010286279,1,8.8,0,0,1,0.509375214576721
間,0,0.443499886550971,1,2,10,0,0,0.409959763288498
部分,0,0.451708908638569,2,4,5,0,0,0.417016923427582
部分,0,0.361681340353083,2,4,5,0,0,0.417016923427582
進入以降具体的,0,0.207216944980054,1,14,0,0,1,0.70057225227356
通過方向,0,0.707106781186547,1,8,0,0,0,0.478139489889145
走行順,0,0.413285382931067,1,6,0,0,0,0.401311099529266
走行体ソフトウェア,0,0.40816127981387,4,13.2,0,0,1,0.703940391540527
走行体ソフトウェア,0,0.338623676197703,4,13.2,0,0,1,0.703940391540527
走行体ソフトウェア,0,0.260522793472568,4,13.2,0,0,1,0.703940391540527
走行体ソフトウェア,0,0.124189280466515,4,13.2,0,0,1,0.703940391540527
走行体,0,0.627232390389379,12,6,4,0,1,0.594297051429749
走行体,0,0.34872022746548,12,6,4,0,1,0.594297051429749
走行体,0,0.344268336750683,12,6,4,0,1,0.594297051429749
走行体,0,0.28865856918729,12,6,4,0,1,0.594297051429749
走行体,0,0.279163877682874,12,6,4,0,1,0.594297051429749
走行体,0,0.268724668329389,12,6,4,0,1,0.594297051429749
走行体,0,0.26346410789964,12,6,4,0,1,0.594297051429749
走行体,0,0.239387979727848,12,6,4,0,1,0.594297051429749
走行体,0,0.22193786808631,12,6,4,0,1,0.594297051429749
走行体,0,0.173566998659582,12,6,4,0,1,0.594297051429749
走行体,0,0.170011787668866,12,6,4,0,1,0.594297051429749
走行体,0,0.108216006285746,12,6,4,0,1,0.594297051429749
走行タイム,0,0.739310416851004,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.437865995786698,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.420004201824779,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.374180489170022,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.320865544438731,5,7.6,0,0,1,0.50953608751297
赤,0,0.370935947138463,3,2,2,0,0,0.310289055109024
赤,0,0.272866621879803,3,2,2,0,0,0.310289055109024
赤,0,0.254852901369054,3,2,2,0,0,0.310289055109024
論理,0,0.394217978062416,1,4,0,0,0,0.32904389500618
読者,0,0.485708137018847,1,4,0,0,0,0.32904389500618
詳細,0,0.630210970614333,1,4,0,0,0,0.32904389500618
該当ゲート,0,0.375705567986266,1,7.6,0,0,0,0.462570309638977
試走会,0,0.376234037765584,3,6,0,0,0,0.424108237028122
試走会,0,0.347168848784378,3,6,0,0,0,0.424108237028122
試走会,0,0.311131374674893,3,6,0,0,0,0.424108237028122
設置方法,0,0.151010968072147,1,8,0,0,0,0.478139489889145
設置プライマリークラス難所,0,0.39025082063578,1,18.8,0,0,1,0.832024276256561
計測終了操作,0,0.17415931426846,1,12,0,0,1,0.631234586238861
計測方法,0,0.556342074867455,1,8,0,0,0,0.478139489889145
触れ,0,0.24557279306197,2,3.1,0,0,0,0.308721333742142
触れ,0,0.160031321639619,2,3.1,0,0,0,0.308721333742142
規約,0,0.452986260522083,7,4,0,0,0,0.394057035446167
規約,0,0.43008410671244,7,4,0,0,0,0.394057035446167
規約,0,0.37027421640037,7,4,0,0,0,0.394057035446167
規約,0,0.355188712442012,7,4,0,0,0,0.394057035446167
規約,0,0.341517204605849,7,4,0,0,0,0.394057035446167
規約,0,0.303770895267917,7,4,0,0,0,0.394057035446167
規約,0,0.288283776567757,7,4,0,0,0,0.394057035446167
複数個所,0,0.360724797476928,1,8,0,0,0,0.478139489889145
装飾物,0,0.270154606646601,1,6,0,0,0,0.401311099529266
装飾品,0,0.396210535659187,3,6,0,0,0,0.424108237028122
装飾品,0,0.312257838197371,3,6,0,0,0,0.424108237028122
装飾品,0,0.237522537743705,3,6,0,0,0,0.424108237028122
色,0,0.546781709390795,5,2,5,0,0,0.376031368970871
色,0,0.299561112657158,5,2,5,0,0,0.376031368970871
色,0,0.296796972652225,5,2,5,0,0,0.376031368970871
色,0,0.24809178146207,5,2,5,0,0,0.376031368970871
色,0,0.163088966404681,5,2,5,0,0,0.376031368970871
自動,0,0.547741215919867,1,4,0,0,0,0.32904389500618
縦,0,0.311753038721,1,2,0,0,0,0.26405069231987
緑色,0,0.47504507548741,3,4,0,0,0,0.350136667490005
緑色,0,0.396210535659187,3,4,0,0,0,0.350136667490005
緑色,0,0.312257838197371,3,4,0,0,0,0.350136667490005
緑,0,0.370935947138463,3,2,3,0,0,0.324607044458389
緑,0,0.272866621879803,3,2,3,0,0,0.324607044458389
緑,0,0.254852901369054,3,2,3,0,0,0.324607044458389
経過待ち,0,0.17415931426846,1,7.1,0,0,0,0.443214505910873
節,0,0.170686337947632,1,2,1,0,0,0.27709224820137
箇所,0,0.512059013842897,1,4,0,0,0,0.32904389500618
競技終了,0,0.17415931426846,1,8,0,0,0,0.478139489889145
競技用,0,0.245555801406006,1,6,0,0,0,0.401311099529266
競技環境,0,0.410320135643714,8,8,0,0,1,0.560147762298584
競技環境,0,0.399165929758686,8,8,0,0,1,0.560147762298584
競技環境,0,0.359784580320351,8,8,0,0,1,0.560147762298584
競技環境,0,0.339657663933355,8,8,0,0,1,0.560147762298584
競技環境,0,0.314197061878359,8,8,0,0,1,0.560147762298584
競技環境,0,0.307913931912054,8,8,0,0,1,0.560147762298584
競技環境,0,0.284126672593039,8,8,0,0,1,0.560147762298584
競技環境,0,0.270146195938183,8,8,0,0,1,0.560147762298584
競技内容,0,0.479758535648966,2,8,0,0,0,0.489886194467545
競技内容,0,0.432706533068808,2,8,0,0,0,0.489886194467545
章,0,0.170686337947632,1,2,10,0,0,0.409959763288498
移動先,0,0.321555122970871,1,6,0,0,0,0.401311099529266
秒単位,0,0.475424791426778,1,6,0,0,0,0.401311099529266
直線,0,0.268526327403419,2,4,0,0,0,0.339510679244995
直線,0,0.255318490002762,2,4,0,0,0,0.339510679244995
白部分,0,0.407063075632296,2,6,0,0,0,0.412662833929062
白部分,0,0.314391401009891,2,6,0,0,0,0.412662833929062
番号,0,0.467700889701346,2,4,6,0,0,0.433166712522507
番号,0,0.190930621052848,2,4,6,0,0,0.433166712522507
用語,0,0.506337035874412,1,4,0,0,0,0.32904389500618
環境,0,0.514541555308592,1,4,12,0,1,0.520127475261688
現実世界,0,0.394217978062416,1,8,0,0,0,0.478139489889145
状態,0,0.357465593513702,2,4,0,0,0,0.339510679244995
状態,0,0.160471172078209,2,4,0,0,0,0.339510679244995
照明環境,0,0.433699158195221,2,8,0,0,0,0.489886194467545
照明環境,0,0.331174413631838,2,8,0,0,0,0.489886194467545
灰色点線内,0,0.350700544272207,2,10,0,0,1,0.567595243453979
灰色点線内,0,0.347464525432592,2,10,0,0,1,0.567595243453979
添付数字,0,0.207216944980054,1,8,0,0,0,0.478139489889145
流れ,0,0.57292494594345,1,3.1,0,0,0,0.298774361610413
正式,0,0.563436346300166,1,4,0,0,0,0.32904389500618
次,0,0.309495562547514,2,2,0,0,0,0.273292183876038
次,0,0.28053287117073,2,2,0,0,0,0.273292183876038
横倒し,0,0.27245015509583,2,5.1,0,0,0,0.379046678543091
横倒し,0,0.2700647467826,2,5.1,0,0,0,0.379046678543091
横,0,0.311753038721,1,2,2,0,0,0.290523588657379
様子,0,0.64349576898828,2,4,0,0,0,0.339510679244995
様子,0,0.586772330831705,2,4,0,0,0,0.339510679244995
構造,0,0.245555801406006,1,4,0,0,0,0.32904389500618
構築方法,0,0.479438396145569,1,8,0,0,0,0.478139489889145
構成要素,0,0.54589000785139,2,8,0,0,0,0.489886194467545
構成要素,0,0.424700584704867,2,8,0,0,0,0.489886194467545
条件,0,0.47376151793693,3,4,0,0,0,0.350136667490005
条件,0,0.290764551449424,3,4,0,0,0,0.350136667490005
条件,0,0.26355471393957,3,4,0,0,0,0.350136667490005
本節,0,0.415396071025808,1,4,0,0,0,0.32904389500618
本章,0,0.439613773040916,3,4,0,0,0,0.350136667490005
本章,0,0.424370989764477,3,4,0,0,0,0.350136667490005
本章,0,0.339791988711456,3,4,0,0,0,0.350136667490005
本書,0,0.415396071025808,1,4,0,0,0,0.32904389500618
最大値,0,0.725493006829806,1,6,0,0,0,0.401311099529266
最大,0,0.601414738052702,3,4,1,0,0,0.365319460630417
最大,0,0.461946490334554,3,4,1,0,0,0.365319460630417
最大,0,0.406569566266597,3,4,1,0,0,0.365319460630417
時点,0,0.290764551449424,3,4,0,0,0,0.350136667490005
時点,0,0.26355471393957,3,4,0,0,0,0.350136667490005
時点,0,0.230973245167277,3,4,0,0,0,0.350136667490005
時,0,0.451062609756001,1,2,11,0,0,0.426035970449448
方向,0,0.250993667274199,2,4,3,0,0,0.385277032852173
方向,0,0.194300156458091,2,4,3,0,0,0.385277032852173
斜線,0,0.60586239165012,1,4,0,0,0,0.32904389500618
文書,0,0.467012828387874,1,4,1,0,0,0.343795865774155
数式3,0,0.512040408622641,1,5,0,0,0,0.364413499832153
数字部分,0,0.431347089003411,1,8,0,0,0,0.478139489889145
数字カード黒ブロック,0,0.374391905628336,4,14.4,0,0,1,0.741472721099854
数字カード黒ブロック,0,0.328773503298705,4,14.4,0,0,1,0.741472721099854
数字カード黒ブロック,0,0.242118431012541,4,14.4,0,0,1,0.741472721099854
数字カード黒ブロック,0,0.229040763095294,4,14.4,0,0,1,0.741472721099854
数字カード置き場,0,0.411425307262168,3,12.7,0,0,1,0.67720764875412
数字カード置き場,0,0.29536408839517,3,12.7,0,0,1,0.67720764875412
数字カード置き場,0,0.237522537743705,3,12.7,0,0,1,0.67720764875412
数字カードボーナスサークル,0,0.24557279306197,2,17.2,0,0,1,0.801719069480896
数字カードボーナスサークル,0,0.213013142614137,2,17.2,0,0,1,0.801719069480896
数字カード,0,0.359868273323876,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.261356194217561,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.258351060609209,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.175043500367021,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.156897193413462,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.100899692772338,6,7.6,9,0,1,0.663735508918762
数字,0,0.34533631312134,9,4,17,0,1,0.687250018119812
数字,0,0.338304894413082,9,4,17,0,1,0.687250018119812
数字,0,0.318119918901272,9,4,17,0,1,0.687250018119812
数字,0,0.31322442303485,9,4,17,0,1,0.687250018119812
数字,0,0.305990392223696,9,4,17,0,1,0.687250018119812
数字,0,0.237491283979432,9,4,17,0,1,0.687250018119812
数字,0,0.183372716008294,9,4,17,0,1,0.687250018119812
数字,0,0.142570624844324,9,4,17,0,1,0.687250018119812
数字,0,0.0674680429975136,9,4,17,0,1,0.687250018119812
改版履歴,0,0.58812496826407,1,8,0,0,0,0.478139489889145
操作方法,0,0.442457613056155,1,8,0,0,0,0.478139489889145
提出期限,0,0.52198250537545,1,8,0,0,0,0.478139489889145
提出方法,0,0.52198250537545,1,8,0,0,0,0.478139489889145
描画処理,0,0.40301106925145,2,8,0,0,0,0.489886194467545
描画処理,0,0.351350494072039,2,8,0,0,0,0.489886194467545
振る舞い,0,0.245555801406006,1,6.2,0,0,0,0.408841997385025
指し,0,0.341250877315087,3,3.1,0,0,0,0.31884890794754
指し,0,0.255961172711816,3,3.1,0,0,0,0.31884890794754
指し,0,0.253720131927545,3,3.1,0,0,0,0.31884890794754
成立例,0,0.630505141340362,1,6,0,0,0,0.401311099529266
意図的,0,0.169838753612497,1,6,0,0,0,0.401311099529266
必要,0,0.29189081270597,2,4,0,0,0,0.339510679244995
必要,0,0.160471172078209,2,4,0,0,0,0.339510679244995
形状,0,0.448797464902304,2,4,0,0,0,0.339510679244995
形状,0,0.424700584704867,2,4,0,0,0,0.339510679244995
形,0,0.315219491315348,1,2,2,0,0,0.290523588657379
底面,0,0.27245015509583,2,4,0,0,0,0.339510679244995
底面,0,0.2700647467826,2,4,0,0,0,0.339510679244995
差異,0,0.647692730982963,1,4,0,0,0,0.32904389500618
左側,0,0.331067541366488,1,4,0,0,0,0.32904389500618
左下,0,0.271059666704862,2,4,0,0,0,0.339510679244995
左下,0,0.256618215978559,2,4,0,0,0,0.339510679244995
左上,0,0.392241298486089,1,4,0,0,0,0.32904389500618
対象,0,0.485708137018847,1,4,0,0,0,0.32904389500618
実行委員会,0,0.468665059441091,7,10,0,0,1,0.62415736913681
実行委員会,0,0.381715437463151,7,10,0,0,1,0.62415736913681
実行委員会,0,0.302227390991173,7,10,0,0,1,0.62415736913681
実行委員会,0,0.293283192769147,7,10,0,0,1,0.62415736913681
実行委員会,0,0.263790878917813,7,10,0,0,1,0.62415736913681
実行委員会,0,0.231661510490603,7,10,0,0,1,0.62415736913681
実行委員会,0,0.127359247004745,7,10,0,0,1,0.62415736913681
完全,0,0.341208891931675,1,4,0,0,0,0.32904389500618
大会,0,0.349054166902969,5,4,0,0,0,0.371832281351089
大会,0,0.342073984838819,5,4,0,0,0,0.371832281351089
大会,0,0.315647760688708,5,4,0,0,0,0.371832281351089
大会,0,0.28390648449485,5,4,0,0,0,0.371832281351089
大会,0,0.282882297878993,5,4,0,0,0,0.371832281351089
外観,0,0.60315347571958,1,4,0,0,0,0.32904389500618
場所,0,0.151010968072147,1,4,0,0,0,0.32904389500618
向き,0,0.501923421278518,1,3.1,0,0,0,0.298774361610413
名称,0,0.460927415458551,1,4,0,0,0,0.32904389500618
名産品,0,0.360724797476928,1,6,0,0,0,0.401311099529266
同様,0,0.39744513944401,2,4,0,0,0,0.339510679244995
同様,0,0.255318490002762,2,4,0,0,0,0.339510679244995
各種ゲート等,0,0.4381315358663,1,9.6,0,0,1,0.54053783416748
右側,0,0.331067541366488,1,4,0,0,0,0.32904389500618
右下,0,0.271059666704862,2,4,0,0,0,0.339510679244995
右下,0,0.256618215978559,2,4,0,0,0,0.339510679244995
右上,0,0.392241298486089,1,4,0,0,0,0.32904389500618
取得方法,0,0.207216944980054,1,8,0,0,0,0.478139489889145
取得可能,0,0.413491656577585,1,8,0,0,0,0.478139489889145
参加チーム,0,0.362944283473665,7,7.6,0,0,1,0.533007681369781
参加チーム,0,0.355188712442012,7,7.6,0,0,1,0.533007681369781
参加チーム,0,0.28538267314571,7,7.6,0,0,1,0.533007681369781
参加チーム,0,0.262839258922048,7,7.6,0,0,1,0.533007681369781
参加チーム,0,0.220862642505354,7,7.6,0,0,1,0.533007681369781
参加チーム,0,0.200655584359096,7,7.6,0,0,1,0.533007681369781
参加チーム,0,0.179570079820757,7,7.6,0,0,1,0.533007681369781
動作環境,0,0.437387790931218,1,8,0,0,0,0.478139489889145
