単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
黒線,0,0.378977382801136,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
黒線,0,0.276787910003856,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
黒線,0,0.271340134721884,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
黒ブロック,0,0.381547257271399,4,6.8,11,0,0.337403625249863,0.239779740571976,0.422816634178162,2
黒ブロック,0,0.306829863445963,4,6.8,11,0,0.337403625249863,0.239779740571976,0.422816634178162,2
黒ブロック,0,0.277665111799621,4,6.8,11,0,0.337403625249863,0.239779740571976,0.422816634178162,2
黒ブロック,0,0.238866536054304,4,6.8,11,0,0.337403625249863,0.239779740571976,0.422816634178162,2
領域,0,0.441390781757739,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
順番,0,0.435330750166634,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
順位,0,0.352091118870159,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
進入以降具体的,0,0.20948846184618,1,14,0,0,0.199203670024872,0.769857048988342,0.0309392865747213,1
通過方向,0,0.707106781186548,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
走行順,0,0.435330750166634,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
走行体,0,0.44423203023114,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.379591345204658,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.357430998470665,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.279910520297246,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.273363740422793,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.267285609044496,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.264077903145727,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.236676087213261,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.224540233441411,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.189343042370824,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.183472982419347,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行体,0,0.168373637063478,12,6,0,0,0.577000796794891,0.373040378093719,0.0499588400125504,0
走行タイム,0,0.777187968686964,5,7.6,0,0,0.508037626743317,0.449231445789337,0.0427309386432171,0
走行タイム,0,0.460577300180184,5,7.6,0,0,0.508037626743317,0.449231445789337,0.0427309386432171,0
走行タイム,0,0.43409689845488,5,7.6,0,0,0.508037626743317,0.449231445789337,0.0427309386432171,0
走行タイム,0,0.40147987012042,5,7.6,0,0,0.508037626743317,0.449231445789337,0.0427309386432171,0
走行タイム,0,0.36280683595788,5,7.6,0,0,0.508037626743317,0.449231445789337,0.0427309386432171,0
該当ゲート,0,0.382876050660049,1,7.6,0,0,0.519058585166931,0.442280173301697,0.0386612378060818,0
