単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル
項目,0,0.29452658361422956,13,1.0,3,37.0
開催年度,1,0.3740161676593177,3,2.0,0,6.5
開催予定,0,0.3739551628497501,3,2.0,0,9.0
部署名,1,0.3789689688933627,1,1.5,0,9.5
選択式,0,0.2152343998244705,1,1.5,0,24.0
達成でき,0,0.1710380758534571,1,1.2,0,16.5
連絡先電話番号,1,0.38698336817760814,4,3.5,1,19.0
連絡先メールアドレス,1,0.38698336817760814,4,4.7,0,24.666666666666668
通り,0,0.2152343998244705,1,0.6,0,30.0
識別番号,1,0.36949545520694455,3,2.0,0,1.0
詳細情報,0,0.4610624758157977,2,2.0,0,42.0
評定項目値,1,0.42122595367204396,1,2.5,0,50.666666666666664
評定項目,1,0.2861370859751757,1,2.0,1,40.5
評定閲覧,0,0.3633439010879398,1,2.0,0,25.5
評定書,1,0.23199633956895074,3,1.5,1,83.0
評定書,1,0.3274292414451091,3,1.5,1,83.0
評定情報,0,0.42344253344718097,2,2.0,1,64.0
複数企業,0,0.5375414051866686,1,2.0,0,39.0
自身,0,0.3855079930647491,1,1.0,0,1.0
自身,0,0.4295095474843318,1,1.0,0,1.0
自社企業,0,0.382575093147576,2,2.0,0,39.0
自社企業,0,0.46294516382528206,2,2.0,0,39.0
自由記述,0,0.23019580254475536,4,2.0,0,1.5
自由記述,0,0.3830984244317686,4,2.0,0,1.5
自由記述,0,0.2322121235469531,4,2.0,0,1.5
自己評価入力,1,0.29776115787263546,1,3.0,0,20.666666666666668
自己評価,0,0.24891541078218946,2,2.0,1,31.0
自分,0,0.3279685500068309,1,1.0,0,1.0
職階,1,0.3789689688933627,1,1.0,0,0.0
総合評価,1,0.2861370859751757,1,2.0,1,31.0
確定フラグ,1,0.42122595367204396,1,2.5,0,31.0
目標,0,0.32260648482035553,3,1.0,0,29.0
注意事項,1,0.375602638155621,1,2.0,0,14.5
氏名,1,0.4003166151169603,3,1.0,6,26.0
次,0,0.39534598190173365,1,0.5,0,0.0
本学向け,0,0.32105500879411464,1,1.6,0,0.0
本学向け,0,0.3344247284525142,1,1.6,0,0.0
本システム,0,0.43577233460957515,1,2.5,0,265.5
システム,0,0.4477886730103872,1,2.0,1,410.0
システム,0,0.4477886730103872,1,2.0,1,410.0
最初,0,0.2152343998244705,1,1.0,0,0.0
教員,2,0.24360252024670498,15,1.0,0,21.0
教員,2,0.37527311208072295,15,1.0,0,21.0
教員,2,0.3712285424612107,15,1.0,0,21.0
教員,2,0.3611432818258359,15,1.0,0,21.0
担当者情報,1,0.5027916645226657,1,2.5,0,28.333333333333332
担当者名,1,0.3789689688933627,1,2.0,1,1.0
担当者id,1,0.35556484845889924,4,2.3,1,0.3333333333333333
担当者,2,0.47978212898058575,1,1.5,22,0.5
担当者,2,0.48726548264263453,1,1.5,22,0.5
担当年度,1,0.4827652684616401,1,2.0,0,7.0
情報,0,0.4034235588843032,5,1.0,15,84.0
後日内容,0,0.56651139736273,1,2.0,0,51.0
当該年度,0,0.3633439010879398,1,2.0,0,6.5
当該学生,0,0.2861370859751757,1,2.0,0,12.5
当該インターンシップ参加学生,0,0.5665741304955924,1,6.7,0,9.0
当該インターンシップ参加学生,0,0.6133592250693843,1,6.7,0,9.0
当該インターンシップ,0,0.4290246068176289,2,4.7,1,0.0
当該インターンシップ,0,0.5585919948972397,2,4.7,1,0.0
当該インターンシップ,0,0.37784288266024946,2,4.7,1,0.0
年度別一覧,1,0.484020996058528,1,2.5,0,4.333333333333333
年度,1,0.3525208965306129,2,1.0,6,13.0
実施開始日,1,0.3253168821634636,4,2.5,0,31.0
実施終了日,1,0.36358997784437,3,2.5,0,37.666666666666664
実施日数,1,0.3253168821634636,4,2.0,3,23.5
実施場所,0,0.34636440185789247,3,2.0,0,72.0
実施場所,0,0.3876606928597232,3,2.0,0,72.0
実施場所,0,0.370697903351597,3,2.0,0,72.0
実施内容,0,0.34636440185789247,3,2.0,0,74.5
実施内容,0,0.3876606928597232,3,2.0,0,74.5
学籍番号,1,0.3447808314413333,5,2.0,0,0.0
学生順,1,0.3599398977954644,2,1.5,0,15.5
学生登録,1,0.43577233460957515,1,2.0,0,28.0
学生氏名,1,0.3595081903841177,6,2.0,0,25.5
学生毎,0,0.38039478243742575,2,1.5,0,12.5
学生情報,1,0.37776673934268895,3,2.0,0,54.5
学生id,1,0.2862857996938225,10,1.8,0,12.5
学生,2,0.2526765312244773,14,1.0,32,25.0
学生,2,0.4311602929851093,14,1.0,32,25.0
学生,2,0.40862273565138707,14,1.0,32,25.0
学生,2,0.4042186935210862,14,1.0,32,25.0
固有,0,0.44633921546992716,2,1.0,0,0.0
固定値,0,0.4375426496959923,1,1.5,0,65.5
周囲,0,0.2347585486635935,1,1.0,0,13.0
同一学生,0,0.5375414051866686,1,2.0,0,9.0
同メールアドレス,0,0.4108238130647064,1,3.7,0,0.0
同インターンシップ,0,0.44001659155345635,1,4.2,0,0.0
各実施日ごと,0,0.375602638155621,1,2.2,0,11.75
反省的態度,1,0.23719226824477851,2,2.5,0,21.333333333333332
反省点,0,0.24891541078218946,2,1.5,0,53.0
参加決定者,1,0.44001659155345635,1,2.5,2,15.666666666666666
参加決定学生,1,0.5665741304955924,1,3.0,1,24.0
参加学生決定,1,0.34295692789182214,1,3.0,0,24.0
参加エントリ,1,0.4200123064590969,3,3.0,0,5.5
参加インターンシップ情報閲覧,1,0.3855079930647491,1,6.7,0,25.5
勤務態度,1,0.23719226824477851,2,2.0,0,41.5
勤務内容理解,1,0.2861370859751757,1,3.0,0,46.666666666666664
勤務内容,0,0.2347585486635935,1,2.0,1,61.5
勤務内容,0,0.239971506113508,1,2.0,1,61.5
内容,0,0.33770623770800573,2,1.0,6,102.0
企業順,1,0.3599398977954644,2,1.5,0,42.0
企業担当者連絡先電話番号,1,0.4108238130647064,1,6.0,0,22.142857142857142
企業担当者登録,1,0.4149837667390797,1,3.5,0,27.5
企業担当者名,1,0.4108238130647064,1,3.0,0,20.25
企業担当者id,1,0.4108238130647064,1,3.3,0,19.75
企業担当者,2,0.2691165296595858,12,2.5,4,26.333333333333332
企業担当者,2,0.41526117674841523,12,2.5,4,26.333333333333332
企業担当者,2,0.36298279231475916,12,2.5,4,26.333333333333332
企業担当者,2,0.360530020757817,12,2.5,4,26.333333333333332
企業担当者,2,0.360530020757817,12,2.5,4,26.333333333333332
企業名,1,0.34174583166719325,8,1.5,0,40.0
企業id,1,0.46257518292263144,3,1.8,0,39.0
企業,2,0.4072210425463707,5,1.0,32,78.0
企業,2,0.5050463232266539,5,1.0,32,78.0
企業,2,0.41994373539316726,5,1.0,32,78.0
事項,0,0.21346992795594819,2,1.0,1,21.0
事前準備状況,1,0.23719226824477851,2,3.0,0,99.66666666666667
予定実施日数,1,0.43810661171224563,3,3.0,0,21.666666666666668
予定実施日,1,0.43810661171224563,3,2.5,3,21.666666666666668
一覧項目,1,0.4364723608051646,1,2.0,0,18.5
ログインid,1,0.36345573023249605,2,2.8,0,0.0
ログイン,1,0.25172170666755395,3,2.0,2,0.0
ユーザ認証,1,0.25172170666755395,3,2.2,3,4.0
ユーザid,1,0.310722949433683,2,2.0,0,2.5
パスワード変更,1,0.46170616155577726,2,3.2,0,200.0
パスワード,1,0.32072107258900157,10,2.2,2,0.0
ソート,1,0.572224330310585,1,1.2,0,0.0
セキュリティ確保,0,0.42085478119695197,2,4.0,0,2.0
システム要求仕様,0,0.2448329991386383,1,4.0,0,157.0
セキュリティ確保,0,0.4235509257414269,2,4.0,0,2.0
システム要求仕様,0,0.24573252455194297,1,4.0,0,157.0
コミュニケーション,1,0.23719226824477851,2,4.2,0,15.0
エントリ登録,1,0.34413847752920435,4,3.0,0,15.5
エントリ,1,0.32105500879411464,1,2.0,9,0.0
インターンシップ詳細登録,1,0.34295692789182214,1,5.7,0,10.333333333333334
インターンシップ評定情報,1,0.2861370859751757,1,5.7,0,42.666666666666664
インターンシップ登録,1,0.4827652684616401,1,4.7,0,15.5
インターンシップ情報,1,0.3888199257421113,4,4.7,1,42.0
インターンシップ名,1,0.30070172677631185,9,4.2,0,1.0
インターンシップ参加決定学生閲覧,1,0.3488339926377391,1,7.7,0,15.8
インターンシップ参加学生,0,0.3633439010879398,1,5.7,1,12.0
インターンシップエントリ情報,1,0.6270117764132808,1,6.7,0,28.0
インターンシップエントリ学生閲覧,1,0.38145161456591375,1,7.7,0,8.0
インターンシップid,1,0.2805218174662257,9,4.5,0,0.0
インターンシップ,2,0.2829032900044589,11,3.7,35,0.0
アドバイス参照,1,0.3458714389544223,1,3.5,0,14.0
アドバイス入力,1,0.3713719482577197,1,3.5,0,14.0
もの,0,0.4168573126339616,1,0.2,0,42.0
すべて参加決定者,0,0.5385293950560011,2,2.8,0,11.75
この欄,0,0.4448884734640526,2,0.7,0,12.5
こと,0,0.1568661102273812,61,0.2,0,10.0
password,1,0.4375426496959923,1,3.2,0,0.0
is,0,0.32105500879411464,1,0.8,0,0.0
11111111,0,0.4375426496959923,1,0.0,0,0.0
