単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル
閲覧,0,0.43702945047044073,1,1.0,4,7.0
開催年度,1,0.37605469108767264,3,2.0,0,6.5
開催予定インターンシップ情報一覧確認,1,0.4447838544144654,1,8.7,0,17.5
部署名,1,0.27718793004759235,1,1.5,0,9.5
選択,0,0.27921793129769223,1,1.0,1,24.0
達成,0,0.6323890948557679,1,1.0,1,33.0
連絡先電話番号,1,0.33796137289511385,4,3.5,1,19.0
連絡先メールアドレス,1,0.33796137289511385,4,4.7,0,24.666666666666668
通り,0,0.21184673417321306,1,0.6,0,30.0
評定項目値,1,0.3621986887917854,1,2.5,0,50.666666666666664
評定項目,1,0.2886660820958368,1,2.0,1,40.5
評定閲覧,1,1.0,1,2.0,0,25.5
評定書項目,1,0.21184673417321306,1,2.5,0,67.66666666666667
評定書確定,1,0.43702945047044073,1,2.5,0,64.0
評定書入力,1,0.25386642570857315,2,2.5,0,55.333333333333336
評定コメントアドバイス入力,1,1.0,1,6.5,0,18.75
評定コメント,1,0.6840649182790568,1,3.0,1,23.5
記述,0,0.5380629039118174,5,1.0,0,3.0
要求仕様,0,0.2782864380976609,1,2.0,1,30.5
自身参加決定,0,0.37175990153974114,1,3.0,0,16.0
自社企業開催,0,0.4017583872414258,1,3.0,0,26.0
自己評価,0,0.45750508200063594,2,2.0,1,31.0
自己評価,0,0.19165717428673906,2,2.0,1,31.0
自分識別番号,0,0.43418514581323125,1,3.0,0,1.0
職階,1,0.27718793004759235,1,1.0,0,0.0
総合評価教員,0,0.2886660820958368,1,3.0,0,27.666666666666668
総合評価,1,1.0,1,2.0,1,31.0
確認,0,0.2886660820958368,1,1.0,10,3.0
確定フラグ,1,0.3621986887917854,1,2.5,0,31.0
確定,0,0.5584358625953845,1,1.0,2,26.0
目標反省自己評価入力,0,1.0,1,5.0,0,18.6
目標,0,0.42508950757164937,3,1.0,1,29.0
登録更新,0,0.40950510968324716,1,2.0,0,20.5
登録参加学生決定,0,0.6529678277980648,1,4.0,0,25.75
登録,0,0.5144140801270924,6,1.0,14,31.0
発行,0,0.3574940520043048,1,1.0,3,0.0
流れ,0,0.2782864380976609,1,0.6,0,29.0
注意,0,0.25301950714512433,2,1.0,1,8.0
注力,0,0.3075481844944091,2,1.0,0,0.0
氏名,0,0.32033485142033363,3,1.0,6,26.0
次項目5段階評価,0,0.3950063383247377,1,3.5,0,23.8
欄入力,0,0.3075481844944091,2,1.5,0,12.5
機能使用,0,0.3667932945681159,3,2.0,0,15.0
機能,0,0.2782864380976609,1,1.0,6,6.0
業務,0,0.2782864380976609,1,1.0,1,3.0
最初6,0,0.21184673417321306,1,1.0,0,0.0
教員発行,0,0.39574148213429805,1,2.0,0,10.5
教員機能,0,1.0,1,2.0,0,13.5
教員ユーザid,0,0.30833615932040004,1,3.0,0,8.666666666666666
教員,2,0.37058218178596336,13,1.0,4,21.0
指定,0,0.30833615932040004,1,1.0,2,11.0
担当者担当者id,0,0.27718793004759235,1,3.8,0,0.4
担当者名,1,0.27718793004759235,1,2.0,1,1.0
