単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
情報,0,0.618077666,3,4.5,7,0
企業id,1,0.5896243693,3,6.9,0,0.5
インターンシップエントリ情報,1,0.584463222,1,18.7,0,0
た,0,0.5238120849,2,1.6,1,0
提供,0,0.5155202329,3,4.5,0,0
ソート,0,0.5121032317,1,3.9,0,0
本システム,0,0.5026016408,1,7.3,0,0
利用,0,0.5026016408,1,4.5,0,0
担当者情報,1,0.4990173972,1,10.5,0,0
インターンシップ情報,1,0.4926335872,1,13.9,0,0
項目,0,0.4824740625,3,4.5,1,0
企業名,1,0.4789554304,2,6.5,0,0
いる,0,0.4611151093,2,2.7,0,0
学生順,0,0.457064104,1,6.5,0,0
企業順,0,0.457064104,1,6.5,0,0
企業名,1,0.4569066464,2,6.5,0,0
固有,0,0.4506533716,2,4.5,0,0
識別番号,1,0.4506533716,2,8.5,0,0
行う,0,0.4495329197,1,3.6,0,0
企業,1,0.4476425142,4,4.5,10,0
ログインid,1,0.4457558164,1,7.7,0,0.5
担当者,1,0.4457558164,1,6.5,8,0
すでに,0,0.4454058773,1,3.8,0,0
する,0,0.4409379215,1,2.7,2,0
企業担当者,1,0.4401396334,1,10.5,3,0
年度別一覧,1,0.4401396334,1,10.5,0,0
開催,0,0.4396869913,2,4.5,2,0
予定,0,0.4396869913,2,4.5,2,0
予定実施日,1,0.4388123568,1,10.5,1,0
予定実施日数,1,0.4388123568,1,12.5,0,0
なお,0,0.4328595781,1,2.7,0,0
登録情報,1,0.4328595781,1,8.5,0,0
11111111,1,0.4321219742,1,8.5,0,0
password,1,0.4321219742,1,10.1,0,0
固定値,1,0.4321219742,1,6.5,0,0
以下,0,0.4248830929,1,4.5,0,0
可能,0,0.4248830929,1,4.5,0,0
機能,0,0.4248830929,1,4.5,0,0
使用,0,0.4248830929,1,4.5,0,0
項目,0,0.4228725079,3,4.5,1,0
インターンシップ,0,0.4218366032,2,9.9,4,0
され,0,0.4217181149,3,2.7,0,0
また,0,0.4180132215,1,2.7,0,0
毎,0,0.4176889354,1,2.5,0,0
氏名,1,0.4158045122,3,4.5,1,0
連絡先メールアドレス,1,0.4158045122,3,14.7,0,0
連絡先電話番号,1,0.4158045122,3,14.5,1,0
企業id,1,0.4121502126,3,6.9,0,0
発行,0,0.4121502126,3,4.5,0,0
