判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル
0,0.3819828019345925,2,0.6,0,37.0
0,0.3628527899718266,2,1.0,0,11.6
0,0.28537115281257536,6,1.0,4,34.25
0,0.3481875814205788,1,1.0,0,2.0
1,0.5265949100226589,1,1.0,0,34.5
2,0.2834887409144312,4,1.0,0,24.0
0,0.4442744284748157,1,1.0,0,253.75
0,0.2742032910540156,4,1.0,3,256.9
0,0.3481875814205788,1,0.5,0,14.0
0,0.3598848110274242,1,1.0,0,15.16
1,0.35261040020935225,1,2.5,0,22.0
1,0.35261040020935225,1,2.5,0,40.36
1,0.35261040020935225,1,2.0,1,15.25
1,0.5265949100226589,1,2.0,0,0.0
1,0.43692077691132347,1,2.0,0,31.25
1,0.446887073848969,1,1.8,0,14.125
2,0.29224353713067963,4,1.0,2,18.25
2,0.3598848110274242,1,1.0,0,19.91
0,0.43692077691132347,1,1.0,0,39.08
1,0.4442744284748157,1,2.0,0,85.35
1,0.4684978677695355,1,3.3,0,45.98
2,0.3374066722150939,2,2.5,1,68.975
1,0.2995083011771987,2,1.5,0,86.625
1,0.3481875814205788,1,1.8,0,68.225
2,0.4442744284748157,1,1.0,7,136.45
1,0.3209757927181444,1,3.0,0,14.43
1,0.3209757927181444,1,2.5,1,14.43
1,0.6826951064804586,3,2.2,0,15.125
1,0.446887073848969,1,2.0,0,13.625
1,0.3413475532402293,3,2.2,0,0.0
0,0.43692077691132347,1,2.0,0,323.54
1,0.3598848110274242,1,3.0,0,33.79
1,0.3598848110274242,1,2.0,1,33.3
1,0.3209757927181444,1,4.7,0,17.125
1,0.4964028052396725,1,5.7,0,87.96
0,0.34933273455434044,2,4.7,1,128.45
1,0.2878784780043305,2,4.2,0,18.04
1,0.35261040020935225,1,4.5,0,0.0
2,0.3436830213738405,2,3.7,7,0.0
0,0.2496829284641733,5,0.30000000000000004,0,0.0
0,0.2949895319096485,3,0.2,0,3789.46
0,0.3481875814205788,1,0.2,0,0.0
2,0.31718405150150736,4,1.0,0,24.0
2,0.31127341386213186,4,1.0,0,24.0
2,0.31127341386213186,4,1.0,2,18.25
2,0.3002130897627269,4,1.0,2,18.25
2,0.40045492184334347,2,2.5,1,68.975
2,0.3263805015872155,2,2.5,1,68.975
2,0.4721494747584047,1,1.0,7,136.45
2,0.3507991188647643,2,3.7,7,0
0,0.4633510990402449,1,2.0,0,323.54
0,0.37288877911826523,1,1.0,0,23.5
0,0.5008527670276128,2,4.7,1,128.45
0,0.3263805015872155,2,4.7,1,128.45
0,0.37288877911826523,1,1.0,0,23.5
2,0.27570478782567326,4,1.0,0,24.0
2,0.39363698036676986,4,1.0,2,18.25
2,0.40045492184334347,2,2.5,1,68.975
2,0.3263805015872155,2,2.5,1,68.975
0,0.43692077691132347,1,2.0,0,323.54
0,0.43692077691132347,1,2.0,0,323.54
2,0.3263805015872155,2,2.5,1,68.975
2,0.40045492184334347,2,2.5,1,68.975
2,0.31718405150150736,4,1.0,0,24.0
2,0.27570478782567326,4,1.0,0,24.0
2,0.31127341386213186,4,1.0,0,24.0
2,0.31127341386213186,4,1.0,0,24.0
1,0.36791730191631683,2,1.5,0,86.625
1,0.31873175348478006,2,1.5,0,86.625
1,0.6024544302435585,1,1.0,0,34.5
0,0.4633510990402449,1,2.0,0,323.54
0,0.4633510990402449,1,2.0,0,323.54
2,0.40045492184334347,2,2.5,1,68.975
2,0.3263805015872155,2,2.5,1,68.975
1,0.35217768341189376,3,2.2,0,0
