単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
行う,0,0.38198280193459244,2,0.6,0,37
確認,0,0.3628527899718266,2,1.0,0,11.6
登録,0,0.28537115281257536,6,1.0,4,34.25
発行,0,0.34818758142057876,1,1.0,0,2
氏名,1,0.5265949100226589,1,1.0,0,34.5
教員,2,0.28348874091443116,4,1.0,0,24
提供,0,0.44427442847481574,1,1.0,0,253.75
情報,0,0.2742032910540156,4,1.0,3,256.9
後,0,0.34818758142057876,1,0.5,0,14
希望,0,0.3598848110274242,1,1.0,0,15.16
実施開始日,1,0.35261040020935225,1,2.5,0,22
実施終了日,1,0.35261040020935225,1,2.5,0,40.36
実施日数,1,0.35261040020935225,1,2.0,1,15.25
学籍番号,1,0.5265949100226589,1,2.0,0,0
学生登録,1,0.43692077691132347,1,2.0,0,31.25
学生id,1,0.44688707384896903,1,1.8,0,14.125
学生,2,0.29224353713067963,4,1.0,2,18.25
参加,2,0.3598848110274242,1,1.0,0,19.91
利用,0,0.43692077691132347,1,1.0,0,39.08
企業登録,1,0.44427442847481574,1,2.0,0,85.35
企業担当者id,1,0.4684978677695355,1,3.3,0,45.98
企業担当者,2,0.3374066722150939,2,2.5,1,68.975
企業名,1,0.2995083011771987,2,1.5,0,86.625
企業id,1,0.34818758142057876,1,1.8,0,68.225
企業,2,0.44427442847481574,1,1.0,7,136.45
予定実施日数,1,0.3209757927181444,1,3.0,0,14.43
予定実施日,1,0.3209757927181444,1,2.5,1,14.43
ユーザ認証,1,0.6826951064804586,3,2.2,0,15.125
ユーザid,1,0.44688707384896903,1,2.0,0,13.625
パスワード,1,0.3413475532402293,3,2.2,0,0
システム,0,0.43692077691132347,1,2.0,0,323.54
エントリ登録,1,0.3598848110274242,1,3.0,0,33.79
エントリ,1,0.3598848110274242,1,2.0,1,33.3
インターンシップ登録,1,0.3209757927181444,1,4.7,0,17.125
インターンシップ情報閲覧,1,0.49640280523967245,1,5.7,0,87.96
インターンシップ情報,0,0.34933273455434044,2,4.7,1,128.45
インターンシップ名,1,0.28787847800433053,2,4.2,0,18.04
インターンシップid,1,0.35261040020935225,1,4.5,0,0
インターンシップ,2,0.34368302137384055,2,3.7,7,0
できる,0,0.24968292846417328,5,0.30000000000000004,0,0
する,0,0.317974683394789,8,0.2,0,26
した,0,0.34818758142057876,1,0.2,0,0
こと,0,0.2949895319096485,3,0.2,0,3789.46
あり,0,0.34818758142057876,1,0.2,0,0
