判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル
0,0.3758209533321208,2,0.6,0,37
0,0.3649980723282806,2,1.0,0,11.6
0,0.25298084505061297,7,1.0,3,34.25
0,0.3554889001255156,1,1.0,0,2
1,0.5405668891211317,1,1.0,0,34.5
2,0.2842308621440752,4,1.0,0,24
0,0.4479965531524906,1,1.0,0,153.75
0,0.30687773846621297,4,1.0,3,256.9
0,0.3554889001255156,1,0.5,0,14
0,0.36425142987536835,1,1.0,0,15.16
1,0.3555751320630138,1,2.5,0,22
1,0.3555751320630138,1,2.5,0,40.36
1,0.3555751320630138,1,2.0,1,15.25
1,0.5405668891211317,1,2.0,0,0
1,0.4404596535449266,1,2.0,0,31.25
1,0.4396782401593035,1,1.8,0,14.125
2,0.2927056465896681,4,1.0,2,18.25
0,0.36425142987536835,1,1.0,0,19.91
0,0.4404596535449266,1,1.0,0,39.08
1,0.4479965531524906,1,2.0,0,85.35
2,0.5226087008380557,1,2.5,0,125.45
1,0.30389582431967926,2,1.5,0,86.625
1,0.3554889001255156,1,1.8,0,68.225
2,0.4479965531524906,1,1.0,5,136.45
1,0.49071593717181555,1,3.0,0,14.43
1,0.49071593717181555,1,2.5,1,14.43
1,0.5716358836243828,3,2.2,0,15.125
1,0.4396782401593035,1,2.0,0,13.625
1,0.3758209533321208,2,2.2,0,0
0,0.4404596535449266,1,2.0,0,323.54
1,0.36425142987536835,1,3.0,0,33.79
1,0.36425142987536835,1,2.0,1,33.3
1,0.4984576656294319,1,5.7,0,87.96
0,0.4363851792189447,2,4.7,1,128.45
1,0.3616893985031606,2,4.2,0,18.4
1,0.3555751320630138,1,4.5,0,0
2,0.3471400031225345,2,3.7,6,0
0,0.27579983769466004,5,0.30000000000000004,0,0
0,0.28811073434306966,9,0.2,0,26
0,0.3554889001255156,1,0.2,0,0
0,0.3471221862246871,3,0.2,0,3789.46
0,0.3554889001255156,1,0.2,0,0
0,0.4658808587466494,1,2.0,0,323.54
0,0.4658808587466494,1,2.0,0,323.54
2,0.29537028637412066,4,1.0,0,24
2,0.27688361729580774,4,1.0,0,24
2,0.29537028637412066,4,1.0,2,18.25
2,0.47482693999335795,1,1.0,5,136.45
2,0.6263294149993175,1,2.5,0,125.45
2,0.3522990287599687,2,3.7,6,0
0,0.4658808587466494,1,2.0,0,323.54
1,0.608046729291332,1,1.0,0,34.5
1,0.608046729291332,1,1.0,0,34.5
2,0.6263294149993175,1,2.5,0,125.45
2,0.27688361729580774,4,1.0,0,24
2,0.31297287446920596,4,1.0,2,18.25
0,0.2947201275767886,4,1.0,3,256.9
0,0.31297287446920596,4,1.0,3,256.9
2,0.31297287446920596,4,1.0,0,24
2,0.39363698036676986,4,1.0,2,18.25
2,0.27688361729580774,4,1.0,0,24
2,0.29537028637412066,4,1.0,0,24
2.31297287446920596,4,1.0,0,24
2.318982738816391,4,1.0,0,24
