名詞,判定,TF-IDF値,出現回数
情報,0,0.618077666,3
企業id,1,0.5896243693,3
インターンシップエントリ情報,1,0.584463222,1
た,0,0.5238120849,2
提供,0,0.5155202329,3
ソート,0,0.5121032317,1
本システム,0,0.5026016408,1
利用,0,0.5026016408,1
担当者情報,1,0.4990173972,1
インターンシップ情報,1,0.4926335872,1
項目,0,0.4824740625,6
企業名,1,0.4789554304,7
いる,0,0.4611151093,2
学生順,0,0.457064104,2
企業順,0,0.457064104,2
企業名,1,0.4569066464,7
識別番号,1,0.4506533716,2
固有,1,0.4506533716,2
行う,0,0.4495329197,1
企業,0,0.4476425142,5
担当者,1,0.4457558164,1
ログインid,1,0.4457558164,1
すでに,0,0.4454058773,1
する,1,0.4409379215,28
年度別一覧,1,0.4401396334,1
企業担当者,0,0.4401396334,1
開催,0,0.4396869913,2
予定,0,0.4396869913,2
予定実施日数,1,0.4388123568,1
予定実施日,1,0.4388123568,1
登録情報,1,0.4328595781,1
なお,0,0.4328595781,1
固定値,1,0.4321219742,1
password,1,0.4321219742,1
11111111,1,0.4321219742,1
機能,0,0.4248830929,1
可能,0,0.4248830929,1
使用,0,0.4248830929,1
以下,0,0.4248830929,1
項目,0,0.4228725079,6
インターンシップ,0,0.4218366032,6
され,0,0.4217181149,3
また,0,0.4180132215,3
毎,0,0.4176889354,1
連絡先電話番号,1,0.4158045122,3
連絡先メールアドレス,1,0.4158045122,3
氏名,1,0.4158045122,3
発行,0,0.4121502126,3
企業id,1,0.4121502126,3
情報,0,0.4102573817,3
提供,0,0.4073316802,3
実装,0,0.4065560917,1
削除,0,0.4065560917,1
修正,0,0.4065560917,1
もの,0,0.4065560917,1
指定,0,0.4012186381,2
ユーザ認証,0,0.4012186381,2
ユーザid,1,0.4012186381,2
担当者id,1,0.3978474851,2
学生情報,1,0.3975351563,2
いる,0,0.3975351563,2
担当者id,1,0.3916502851,2
一覧項目,0,0.3901281539,1
ユーザid,1,0.3856789623,2
後,0,0.3822848423,4
登録,1,0.3815086909,12
ユーザ認証,0,0.3792180915,2
部署名,1,0.3777163362,1
