名詞,判定,TF-IDF値,出現回数,重み
情報,0,0.618077666,3,4.5
企業id,1,0.5896243693,3,6.9
インターンシップエントリ情報,1,0.584463222,1,18.7
た,0,0.5238120849,2,1.6
提供,0,0.5155202329,3,4.5
ソート,0,0.5121032317,1,3.9
本システム,0,0.5026016408,1,7.3
利用,0,0.5026016408,1,4.5
担当者情報,1,0.4990173972,1,10.5
インターンシップ情報,1,0.4926335872,1,13.9
項目,0,0.4824740625,6,4.5
企業名,1,0.4789554304,7,6.5
いる,0,0.4611151093,2,2.7
学生順,0,0.457064104,2,6.5
企業順,0,0.457064104,2,6.5
企業名,1,0.4569066464,7,6.5
識別番号,1,0.4506533716,2,8.5
固有,1,0.4506533716,2,4.5
行う,0,0.4495329197,1,3.6
企業,0,0.4476425142,5,4.5
担当者,1,0.4457558164,1,6.5
ログインid,1,0.4457558164,1,7.7
すでに,0,0.4454058773,1,3.8
する,1,0.4409379215,28,2.7
年度別一覧,1,0.4401396334,1,10.5
企業担当者,0,0.4401396334,1,10.5
開催,0,0.4396869913,2,4.5
予定,0,0.4396869913,2,4.5
予定実施日数,1,0.4388123568,1,12.5
予定実施日,1,0.4388123568,1,10.5
登録情報,1,0.4328595781,1,8.5
なお,0,0.4328595781,1,2.7
固定値,1,0.4321219742,1,6.5
password,1,0.4321219742,1,10.1
11111111,1,0.4321219742,1,8.5
機能,0,0.4248830929,1,4.5
可能,0,0.4248830929,1,4.5
使用,0,0.4248830929,1,4.5
以下,0,0.4248830929,1,4.5
項目,0,0.4228725079,6,4.5
インターンシップ,0,0.4218366032,6,9.9
され,0,0.4217181149,3,2.7
また,0,0.4180132215,3,2.7
毎,0,0.4176889354,1,2.5
連絡先電話番号,1,0.4158045122,3,14.5
連絡先メールアドレス,1,0.4158045122,3,14.7
氏名,1,0.4158045122,3,4.5
発行,0,0.4121502126,3,4.5
企業id,1,0.4121502126,3,6.9
情報,0,0.4102573817,3,4.5
提供,0,0.4073316802,3,4.5
実装,0,0.4065560917,1,4.5
削除,0,0.4065560917,1,4.5
修正,0,0.4065560917,1,4.5
もの,0,0.4065560917,1,2.7
指定,0,0.4012186381,2,4.5
ユーザ認証,0,0.4012186381,2,7.9
ユーザid,1,0.4012186381,2,6.3
担当者id,1,0.3978474851,2,8.9
学生情報,1,0.3975351563,2,8.5
いる,0,0.3975351563,2,2.7
担当者id,1,0.3916502851,2,8.9
一覧項目,0,0.3901281539,1,8.5
ユーザid,1,0.3856789623,2,6.3
後,0,0.3822848423,4,2.5
登録,1,0.3815086909,12,4.5
ユーザ認証,0,0.3792180915,2,7.9
部署名,1,0.3777163362,1,6.5
職階,0,0.3777163362,1,4.5
担当者名,1,0.3777163362,1,8.5
識別番号,1,0.3727971378,2,8.5
固有,0,0.3727971378,2,4.5
学生,0,0.3712277801,7,4.5
確認,0,0.3696934369,7,4.5
学生,1,0.3696934369,7,4.5
され,0,0.3669391098,3,2.7
企業,1,0.3661911699,5,4.5
複数,0,0.3658849195,1,4.5
同一,0,0.3658849195,1,4.5
よる,0,0.3658849195,1,2.7
も,0,0.3658849195,1,1.6
発行,0,0.3638559831,3,4.5
され,0,0.3635703392,3,2.7
学生情報,1,0.3628608146,2,8.5
同,0,0.3622604038,1,2.5
企業担当者連絡先電話番号,1,0.3622604038,1,24.5
企業担当者名,1,0.3622604038,1,12.5
企業担当者id,1,0.3622604038,1,12.9
メールアドレス,1,0.3622604038,1,8.7
学籍番号,1,0.3610562018,5,8.5
学生id,1,0.3610562018,5,6.9
提供,0,0.3592716755,3,4.5
参加決定者,1,0.3592473415,1,10.5
なる,0,0.3592473415,1,2.7
すべて,0,0.3592473415,1,3.8
関する,0,0.3577203742,1,4.7
評定情報,1,0.3577203742,1,8.5
当該年度,1,0.3577203742,1,8.5
参加学生,1,0.3577203742,1,8.5
企業,1,0.3536989739,5,4.5
連絡先電話番号,1,0.353329203,3,14.5
連絡先メールアドレス,1,0.353329203,3,14.7
氏名,1,0.353329203,3,4.5
は,0,0.353329203,3,1.6
今回,0,0.3527271209,3,4.5
一覧,0,0.3497563396,13,4.5
開催年度,1,0.3481984961,2,8.5
実施開始日,1,0.3442636095,1,10.5
実施終了日,1,0.3442636095,1,10.5
実施日数,1,0.3442636095,1,8.5
発行,0,0.3409459005,3,4.5
パスワード,0,0.3403498419,4,6.3
こと,0,0.340348695,28,2.7
本学,0,0.3402662749,1,4.5
希望,0,0.3402662749,1,4.5
向け,0,0.3402662749,1,3.6
参加,0,0.3402662749,1,4.5
項目,0,0.3402418602,6,4.5
後,0,0.3374901258,4,2.5
パスワード,1,0.3374901258,4,6.3
インターンシップ,1,0.3333087653,6,9.9
インターンシップ名,1,0.3322331017,4,11.9
インターンシップid,1,0.3322331017,4,12.3
今回,0,0.3318585221,3,4.5
パスワード,1,0.3271676871,4,6.3
確認,0,0.3267941755,7,4.5
エントリ登録,0,0.3265608427,2,9.3
年度,1,0.3233258778,2,4.5
後,0,0.3216869937,4,2.5
エントリ,0,0.3206366493,2,5.3
た,0,0.3206366493,2,1.6
指定,0,0.3192737952,2,4.5
年度,1,0.3192737952,2,4.5
学生氏名,1,0.3184489305,3,8.5
登録,0,0.3182050737,12,4.5
学生,1,0.3179131227,7,4.5
次,0,0.3165544387,1,2.5
対する,0,0.3165544387,1,4.7
および,0,0.3165544387,1,3.8
5段階評価,0,0.3165544387,1,9.5
後,0,0.3162401615,4,2.5
パスワード,1,0.3162401615,4,6.3
企業,1,0.3119669526,5,4.5
確認,0,0.3116079801,7,4.5
連絡先電話番号,1,0.3083175671,3,14.5
連絡先メールアドレス,1,0.3083175671,3,14.7
氏名,1,0.3083175671,3,4.5
情報,1,0.3083175671,3,4.5
企業id,1,0.3083175671,3,6.9
開催年度,1,0.3072633182,2,8.5
学籍番号,1,0.3068069159,5,8.5
教員,1,0.3057988765,13,4.5
できる,0,0.3057988765,13,3.8
開催,0,0.3036956037,2,4.5
予定,0,0.3036956037,2,4.5
エントリ,0,0.3036956037,2,5.3
こと,0,0.3008546001,28,2.7
また,0,0.2986599663,3,2.7
学生id,1,0.2960541029,5,6.9
インターンシップ名,1,0.2953733746,4,11.9
インターンシップid,1,0.2953733746,4,12.3
と,0,0.2953733746,4,1.6
インターンシップ,1,0.2939825316,6,9.9
行っ,0,0.2934444634,1,3.6
参加決定,0,0.2934444634,1,8.5
インターンシップエントリ,1,0.2934444634,1,14.7
を,0,0.2934444634,1,1.6
今回,0,0.2932419272,3,4.5
また,0,0.2932419272,3,2.7
は,0,0.2932419272,3,1.6
項目,0,0.2930960036,6,4.5
する,0,0.290591287,28,2.7
こと,0,0.290591287,28,2.7
し,0,0.288163245,5,1.6
こと,0,0.2868738223,28,2.7
教員,1,0.2829957154,13,4.5
一覧,0,0.2829957154,13,4.5
できる,0,0.2829957154,13,3.8
確認,0,0.2817348011,7,4.5
学生氏名,1,0.2810111938,3,8.5
確認,0,0.2784037176,7,4.5
企業名,1,0.2775641687,7,6.5
学籍番号,1,0.2765192727,5,8.5
学生id,1,0.2765192727,5,6.9
と,0,0.2742741761,4,1.6
学生,1,0.2642028656,7,4.5
エントリ登録,0,0.2619060425,2,9.3
インターンシップ名,1,0.2606484641,4,11.9
インターンシップid,1,0.2606484641,4,12.3
と,0,0.2606484641,4,1.6
登録,0,0.2603056781,12,4.5
こと,0,0.2593718533,28,2.7
企業,1,0.2593358895,5,4.5
学生氏名,1,0.2583930983,3,8.5
する,0,0.2563051774,28,2.7
こと,0,0.2563051774,28,2.7
し,0,0.2546312349,5,1.6
登録,0,0.2543998865,12,4.5
し,0,0.2535489344,5,1.6
登録,0,0.2532315359,12,4.5
登録,0,0.2514256455,12,4.5
教員,1,0.2501568658,13,4.5
一覧,0,0.2501568658,13,4.5
できる,0,0.2501568658,13,3.8
一覧,0,0.2479591785,13,4.5
できる,0,0.2479591785,13,3.8
企業名,1,0.246769707,7,6.5
一覧,0,0.2466490053,13,4.5
インターンシップ,0,0.2443855694,6,9.9
学籍番号,1,0.2440109025,5,8.5
学生id,1,0.2440109025,5,6.9
教員,1,0.2433585306,13,4.5
できる,0,0.2433585306,13,3.8
項目,0,0.2419646461,6,4.5
教員,1,0.2416230483,13,4.5
できる,0,0.2416230483,13,3.8
インターンシップ名,1,0.2396693288,4,11.9
インターンシップid,1,0.2396693288,4,12.3
と,0,0.2396693288,4,1.6
インターンシップ,0,0.2389322234,6,9.9
教員,1,0.2385320226,13,4.5
一覧,0,0.2385320226,13,4.5
できる,0,0.2385320226,13,3.8
学生,1,0.231435013,7,4.5
項目,0,0.2299440446,6,4.5
企業名,1,0.2291423801,7,6.5
インターンシップ,1,0.2272741043,6,9.9
学生,1,0.2272365128,7,4.5
確認,0,0.2262706525,7,4.5
登録,0,0.2245902537,12,4.5
登録,0,0.2244139399,12,4.5
学籍番号,1,0.2243708952,5,8.5
学生id,1,0.2243708952,5,6.9
こと,0,0.2204689608,28,2.7
する,0,0.2199544081,28,2.7
企業名,1,0.217758778,7,6.5
教員,1,0.2176627809,13,4.5
教員,1,0.2156644767,13,4.5
一覧,0,0.2156644767,13,4.5
できる,0,0.2156644767,13,3.8
学生,1,0.215230324,7,4.5
教員,1,0.2131145738,13,4.5
できる,0,0.2131145738,13,3.8
こと,0,0.2130646552,28,2.7
一覧,0,0.2124719095,13,4.5
登録,0,0.2104489959,12,4.5
する,0,0.2103196396,28,2.7
こと,0,0.2103196396,28,2.7
教員,1,0.2092324421,13,4.5
し,0,0.2079907558,5,1.6
企業名,1,0.200231758,7,6.5
する,0,0.1981462276,28,2.7
こと,0,0.1981462276,28,2.7
の,0,0.1950640769,1,1.6
登録,0,0.1903091438,12,4.5
確認,0,0.18561389,7,4.5
する,0,0.1838866153,28,2.7
こと,0,0.1838866153,28,2.7
登録,0,0.1810036989,12,4.5
できる,0,0.1771606162,13,3.8
一覧,0,0.1754056342,13,4.5
学生順,0,0.174099248,2,6.5
企業順,0,0.174099248,2,6.5
教員,1,0.1732073626,13,4.5
一覧,0,0.1732073626,13,4.5
できる,0,0.1732073626,13,3.8
登録,0,0.1714402509,12,4.5
こと,0,0.1708806241,28,2.7
する,0,0.1701743475,28,2.7
一覧,0,0.1666916288,13,4.5
教員,1,0.1647561288,13,4.5
できる,0,0.1647561288,13,3.8
は,0,0.1592244652,3,1.6
一覧,0,0.1532749136,13,4.5
する,0,0.1504273001,28,2.7
こと,0,0.1491057607,28,2.7
する,0,0.1483179117,28,2.7
こと,0,0.1483179117,28,2.7
する,0,0.1470144192,28,2.7
こと,0,0.1470144192,28,2.7
する,0,0.1463392444,28,2.7
こと,0,0.1463392444,28,2.7
する,0,0.1434369112,28,2.7
教員,1,0.142085118,13,4.5
一覧,0,0.142085118,13,4.5
できる,0,0.142085118,13,3.8
し,0,0.1382596363,5,1.6
こと,0,0.1308875707,28,2.7
する,0,0.1297878161,28,2.7
こと,0,0.1297878161,28,2.7
する,0,0.1296859266,28,2.7
する,0,0.1277661342,28,2.7
こと,0,0.1277661342,28,2.7
する,0,0.1260329025,28,2.7
こと,0,0.1260329025,28,2.7
する,0,0.1258181392,28,2.7
する,0,0.1237104413,28,2.7
こと,0,0.1237104413,28,2.7
する,0,0.1216157653,28,2.7
こと,0,0.1216157653,28,2.7
する,0,0.1183742878,28,2.7
こと,0,0.1099772041,28,2.7
する,0,0.1065323276,28,2.7
する,0,0.105477001,28,2.7
こと,0,0.105477001,28,2.7
する,0,0.1041551101,28,2.7
こと,0,0.1041551101,28,2.7
する,0,0.1002369917,28,2.7
