名詞,判定,TF-IDF値,出現回数,重み,連結回数
隣接,0,0.2562763108,1,3,0
緑色,1,0.4927956229,2,3,0
緑色,1,0.2769117183,2,3,0
流れ,0,0.3808605428,1,2.1,0
用語,0,0.7262823222,1,3,0
用意,0,0.2753934081,1,3,0
用いる,0,0.4525893505,3,2.7,0
用いる,0,0.4288334864,3,2.7,0
用いる,0,0.2650211908,3,2.7,0
用いられる,0,0.3953003691,1,3.9,0
矢印,0,0.2699368453,1,3,0
名称,0,0.3388744141,1,3,0
名産品,0,0.302553441,1,4.5,0
満たし,0,0.2538136423,2,2.7,0
満たし,0,0.2397191309,2,2.7,0
満たさ,0,0.3018386009,1,2.7,0
本章,0,0.3422367089,3,3,0
本章,0,0.3380281125,3,3,0
本章,0,0.3314382021,3,3,0
本規約,0,0.3217370837,5,4.5,0
本規約,0,0.3064971107,5,4.5,0
本規約,0,0.2985497028,5,4.5,0
本規約,0,0.2797516275,5,4.5,0
本規約,0,0.2192800414,5,4.5,0
方向,0,0.2699368453,1,3,1
文書,0,0.4176418174,1,3,2
分け,0,0.3115329671,1,2.1,0
複数個所,0,0.302553441,1,6,0
部分,0,0.3663027915,2,3,0
部分,0,0.3547449338,2,3,0
描画処理,0,0.3909318028,1,6,0
必要,0,0.2851302202,1,3,0
番号,0,0.2061974228,1,3,1
判定,0,0.4047333607,1,3,1
配布,0,0.3862081516,2,3,0
配布,0,0.3341489213,2,3,0
難所,0,0.3766493339,1,3,0
内側,0,0.2325179428,1,3,0
読者,0,0.569287904,1,3,0
得る,0,0.4456689365,1,2.1,0
同一方向,0,0.2562763108,1,6,0
同じ色,0,0.3528335841,1,3.6,0
同じ,0,0.3355932947,1,2.1,1
動作環境,0,0.3909318028,1,6,0
添付数字,0,0.2061974228,1,6,0
添付,0,0.4187733991,3,3,1
添付,0,0.366283645,3,3,1
添付,0,0.2172415208,3,3,1
提出,0,0.3677858877,2,3,0
提出,0,0.2518666929,2,3,0
提示,0,0.2061974228,1,3,0
定義,0,0.3511319947,2,3,0
定義,0,0.2520535268,2,3,0
通知,0,0.3862081516,1,3,0
通過,0,0.5731634845,4,3,0
通過,0,0.4842707876,4,3,0
通過,0,0.4768915794,4,3,0
通過,0,0.2190106886,4,3,0
中心軸,0,0.3232197611,1,4.5,0
中心,0,0.3232197611,1,3,1
中間ゲート,0,0.3350355092,2,4.9,2
中間ゲート,0,0.2479349895,2,4.9,2
置かれ,0,0.3914212266,4,2.7,0
置かれ,0,0.2585296861,4,2.7,0
置かれ,0,0.2136352274,4,2.7,0
置かれ,0,0.2017718614,4,2.7,0
置い,0,0.332302915,1,2.1,0
大会開催地,0,0.302553441,1,7.5,0
大会,0,0.3862081516,2,3,1
大会,0,0.3013964046,2,3,1
対象,0,0.569287904,1,3,0
対応,0,0.5102422115,1,3,0
走行体全体,0,0.470987235,2,7.5,0
走行体全体,0,0.3031149737,2,7.5,0
走行体ソフトウェア,0,0.2663971731,1,8.7,0
走行体,0,0.4138901525,6,4.5,3
走行体,0,0.37762771,6,4.5,3
走行体,0,0.2750350753,6,4.5,3
走行体,0,0.2219546334,6,4.5,3
走行体,0,0.207770799,6,4.5,3
走行体,0,0.2022102885,6,4.5,3
走行タイム,1,0.4734732981,3,5.1,0
走行タイム,1,0.4530491215,3,5.1,0
走行タイム,1,0.3500947052,3,5.1,0
走行,0,0.3810991367,3,3,12
走行,0,0.24549342,3,3,12
走行,0,0.228687331,3,3,12
装飾品,0,0.2769117183,2,4.5,0
装飾品,0,0.2463978115,2,4.5,0
装飾,0,0.302553441,1,3,2
総称,0,0.2702873362,1,3,0
操作方法,0,0.3109156478,1,6,0
全景,0,0.332302915,1,3,1
全クラス共通,0,0.4002220299,1,6.6,0
全クラス,0,0.3940545974,1,3.6,1
全カラーブロック,0,0.2061974228,1,6.2,0
設置,0,0.3775899383,7,3,4
設置,0,0.3199099276,7,3,4
設置,0,0.2679214993,7,3,4
設置,0,0.2509131384,7,3,4
設置,0,0.2368742263,7,3,4
設置,0,0.2206914736,7,3,4
設置,0,0.2021685253,7,3,4
設けられ,0,0.3067034353,3,3.3,0
設けられ,0,0.2755772387,3,3.3,0
設けられ,0,0.2316456679,3,3.3,0
青斜線,0,0.6371658747,1,4.5,0
生成,0,0.2238922732,1,3,0
成立例,0,0.6413540858,1,4.5,0
成立,0,0.3948531464,5,3,2
成立,0,0.2651935968,5,3,2
